ID,Authors
36,"Khandelwal G., Gupta J., Jayaram B."
37,"Bilgin T., Wagner A."
38,"Lopez-Montero I., Rodriguez-Garcia R., Monroy F."
39,"Tashiro Y., Katabami A., Saito K., Umeno D."
40,"Hallinan J.S., Park S., Wipat A."
41,McEuen P.L.
42,Calvert J.
43,"Sagi D., Kim S.K."
44,"Gagarinova A., Emili A."
45,"Ackovska N., Bozinovski S., Bozinovska L."
46,"Conway C.A., Esiobu N., Lopez J.V."
47,Liu H.-Y.
48,"Lu J., Sun H.-L., He H., Fu P.-C."
49,"Shi Y.-W., Zhi X.-H., Zheng H.-N., Yang Y., Wang W., An J.-M., Kong J.-Q."
50,"Bornscheuer U.T., Huisman G.W., Kazlauskas R.J., Lutz S., Moore J.C., Robins K."
51,Joyce G.F.
52,"Merryman C., Gibson D.G."
53,"Hodgman C.E., Jewett M.C."
54,"Tsvetanova B., Peng L., Liang X., Li K., Hammond L., Peterson T.C., Katzen F."
55,"Liu J.-Q., Nakano T."
56,"Gustafsson C., Minshull J., Govindarajan S., Ness J., Villalobos A., Welch M."
57,Keasling J.D.
58,Qiu D.
59,"Lynch S.A., Gill R.T."
60,Chin J.W.
61,"Cox III R.S., Toyoda T."
62,"Yu T., Bao X., Piao W., Peng J., Li W., Yang C., Xing M., Zhang Y., Qi J., Xu L., Xu L., Liu Q."
63,Pelzer S.
64,Rinaldi A.
65,Cho W.C.S.
66,Tissier A.
67,thases 1 and 2 (2010) Plant Physiol.
68,"Perkins D., Nordmann B."
69,"Coyne R.S., Stover N.A., Miao W."
70,Gibson D.G.
71,Benders G.A.
72,"Nouri A., Chyba C.F."
73,"Griesser H., Tolev M., Singh A., Sabirov T., Gerlach C., Richert C."
74,Skiena S.S.
75,"O'Neill B.M., Mikkelson K.L., Gutierrez N.M., Cunningham J.L., Wolff K.L., Szyjka S.J., Yohn C.B., Redding K.E., Mendez M.J."
76,"Massad E., Pereira Jr. A., Bobbitt N."
77,"Starcevic A., Zucko J., Hranueli D., Wolf K., Ruzic I.T., Cullum J., Diminic J., Long P.F."
78,Guimaraes R.C.
79,"Kim I.-K., Roldao A., Siewers V., Nielsen J."
80,Am Chem Soc
81,Aur D.
82,"Ma S., Saaem I., Tian J."
83,"Bubela T., Hagen G., Einsiedel E."
84,"Wang T., Ma X., Zhu H., Li A., Du G., Chen J."
85,Newman S.A.
86,Roukos D.H.
87,Vicini A.
88,"Michelotti N., Johnson-Buck A., Manzo A.J., Walter N.G."
89,"Chen Y.Y., Galloway K.E., Smolke C.D."
90,"Rollie S., Mangold M., Sundmacher K."
91,. Sci. USA
92,Itaya M.
93,"Jaeger L., Calkins E.R."
94,De Ridder D.
95,"Haiech J., Ranjeva R., Kilhoffer M.-C."
96,Schark M.
97,Lopez-Goni I.
98,"Saaem I., Ma S., Quan J., Tian J."
99,Deplazes-Zemp A.
100,"Van Helden J., Toussaint A., Thieffry D."
101,"Liang X., Peng L., Tsvetanova B., Li K., Yang J.-P., Ho T., Shirley J., Xu L., Potter J., Kudlicki W., Peterson T., Katzen F."
102,"Levenson V.V., Melnikov A.A."
103,"Prindle A., Samayoa P., Razinkov I., Danino T., Tsimring L.S., Hasty J."
104,"Junker A., Junker B.H."
105,"Werner S., Engler C., Weber E., Gruetzner R., Marillonnet S."
106,"Martinez-Garcia E., De Lorenzo V."
107,"Weber W., Fussenegger M."
108,"Edwards B., Kelle A."
109,"Dormitzer P.R., Tsai T.F., Del Giudice G."
110, Bacart
111,"Dormitzer P.R., Tsai T.F., Del Giudice G."
112,e
113,"Stano P., Carrara P., Kuruma Y., Pereira De Souza T., Luisi P.L."
114,"Alexander C., O'Reilly R.K."
115,"Albarwani S.A., Tanira M.O."
116,Legato M.J.
117,"Horakova J., Kelemen J."
118,Heudin J.-C.
119,"Lin Y., Zhang R.R."
120,"Palaniappan K., Mukherjee S."
121,"Rasmussen S., Albertsen A., Pedersen P.L., Svaneborg C."
122,"Hellsten I., Nerlich B."
123,"Tompa P., Rose G.D."
124,Gomez J.M.G.
125,"Navlakha S., Bar-Joseph Z."
126,"Pei L., Schmidt M., Wei W."
127,"McLeish C., Trapp R."
128,"Asakura Y., Kojima H., Kobayashi I."
129,"Caschera F., Sunami T., Matsuura T., Suzuki H., Hanczyc M.M., Yomo T."
130,"Zanders J.P., Smithson A.E."
131,"Steffen W., Persson A., Deutsch L., Zalasiewicz J., Williams M., Richardson K., Crumley C., Crutzen P., Folke C., Gordon L., Molina M., Ramanathan V., Rockstrom J., Scheffer M., Schellnhuber H.J., Svedin U."
132,Weissig V.
133,"Loi P., Wakayama T., Saragustry J., Fulka Jr. J., Ptak G."
134,"Yuryev R., Strompen S., Liese A."
135,"Bromley E.H.C., Channon K.J."
136,Sheldon R.B.
137,"Palacios M.A., Benito-Pena E., Manesse M., Mazzeo A.D., LaFratta C.N., Whitesides G.M., Walt D.R."
138,"Wimmer E., Paul A.V."
139,Trifonov E.N.
140,"Cambray G., Mutalik V.K., Arkin A.P."
141,"Juhas M., Eberl L., Glass J.I."
142,"Gowen C.M., Fong S.S."
143,Pleiss J.
144,"Kurihara K., Tamura M., Shohda K.-I., Toyota T., Suzuki K., Sugawara T."
145,"Pei L., Schmidt M., Wei W."
146,"Gorlich D., Artmann S., Dittrich P."
147,"Barret M., Morrissey J.P., O'Gara F."
148,"Chen W.L., Leland B.A., Durant J.L., Grier D.L., Christie B.D., Nourse J.G., Taylor K.T."
149,"Enyeart P.J., Ellington A.D."
150,"Dymond J.S., Richardson S.M., Coombes C.E., Babatz T., Muller H., Annaluru N., Blake W.J., Schwerzmann J.W., Dai J., Lindstrom D.L., Boeke A.C., Gottschling D.E., Chandrasegaran S., Bader J.S., Boeke J.D."
151,"Kushner A.M., Guan Z."
152,p. 8725; Feng
153,"Wingler L.M., Cornish V.W."
154,"Mondragon-Palomino O., Danino T., Selimkhanov J., Tsimring L., Hasty J."
155,"Erickson B., Singh R., Winters P."
156,"Lin Y.-L., Ward C., Jain B., Skiena S."
157,"Aguirre L.M., Alvarez E., Perez L.E.M."
158,"White M.D., Bosio C.M., Duplantis B.N., Nano F.E."
159,"Cai Y., Boeke J.D."
160,Gardlik R.
161,"Zhou Y.J., Zhao Z.K."
162,"Liu D., Du J., Zhao G., Yuan Y."
163,"Schuster A., Berrar D."
164,Bosco G.L.
165,"Brooks A.N., Turkarslan S., Beer K.D., Yin Lo F., Baliga N.S."
166,"Montagnier L., Aissa J., Giudice E.D., Lavallee C., Tedeschi A., Vitiello G."
167,Gibson D.G.
168,"Rasmussen S., Albertsen A., Fellermann H., Pedersen P.L., Svaneborg C., Ziock H."
169,"Sitaraman V., Hearing P., Ward C.B., Gnatenko D.V., Wimmer E., Mueller S., Skiena S., Bahou W.F."
170,"Dziewit L., Bartosik D."
171,"Beal J., Lu T., Weiss R."
172,"Achbergerova L., Nahalka J."
173,"Nielsen J., Keasling J.D."
174,"Hart B.R., Mishra P.K., Lintner R.E., Hinerman J.M., Herr A.B., Blumenthal R.M."
175,"Du J., Shao Z., Zhao H."
176,n to microbial P450 s and unique features (2000) J Inorg Biochem
177,"Woodruff L.B.A., Gill R.T."
178,Mitchell W.
179,"Antonczak A.K., Morris J., Tippmann E.M."
180,"Isaacs F.J., Carr P.A., Wang H.H., Lajoie M.J., Sterling B., Kraal L., Tolonen A.C., Gianoulis T.A., Goodman D.B., Reppas N.B., Emig C.J., Bang D., Hwang S.J., Jewett M.C., Jacobson J.M., Church G.M."
181,"Cheong C.Y., Li M.-H., Goh R.S.M."
182,"Sarrion-Perdigones A., Falconi E.E., Zandalinas S.I., Juarez P., Fernandez-del-Carmen A., Granell A., Orzaez D."
183,"El-Sagheer A.H., Sanzone A.P., Gao R., Tavassoli A., Brown T."
184,"Khakshoor O., Kool E.T."
185,Rob C.
186,"Ried J., Dabrock P."
187,"Taylor-Robinson D., Jensen J.S."
188, Infect. Dis
189,Dorman C.J.
190,"Ruder W.C., LeDuc P.R."
191,Stano P.
192,"Weeks A.M., Chang M.C.Y."
193,lay of mechanism and specificity (2005) Archives of Biochemistry and Biophysics
194,Hayden E.C.
195,"Zhu B., Li J., Xu D."
196,"Yano K., Inoue H., Mori H., Yee L.M., Matsuoka S., Sadaie Y., Asai K."
197,"Hou Z., Xiao G."
198,"Zaparucha A., De Berardinis V., Weissenbach J."
199,"Yuan H., Chai S.C., Lam C.K., Howard Xu H., Ye Q.-Z."
200,"Kindsmuller K., Wagner R."
201,"Wang C., Kim J.-Y., Choi E.-S., Kim S.-W."
202,"Porcar M., Danchin A., de Lorenzo V., dos Santos V.A., Krasnogor N., Rasmussen S., Moya A."
203,Barton M.
204,"Vinuselvi P., Park S., Kim M., Park J.M., Kim T., Lee S.K."
205,"Wang H.H., Church G.M."
206,"Tsvetanova B., Peng L., Liang X., Li K., Yang J.-P., Ho T., Shirley J., Xu L., Potter J., Kudlicki W., Peterson T., Katzen F."
207,Toyoda T.
208,"Itaya M., Tsuge K."
209,Kaznessis Y.N.
210,"Notka F., Liss M., Wagner R."
211,"Hughes R.A., Miklos A.E., Ellington A.D."
212,"Hansen L.H., Bentzon-Tilia M., Bentzon-Tilia S., Norman A., Rafty L., Sorensen S.J."
213,"Jaschke A., Micura R., Grunweller A., Hartmann R., Helm M., Liebl W., Merkel L., Budisa N., Sundermann U., Kushnir S., Schulz F."
214,Baker M.
215,"Jenkins T., Bovi A., Edwards R."
216,Lecellier C.-H.
217,"Fabret C., Dervyn E., Dalmais B., Guillot A., Marck C., Grosjean H., Noirot P."
218,Peterhansel C.
219,Newson A.J.
220,"Giuliani A., Licata I., Modonesi C.M., Crosignani P."
221,"Brodzik A.K., Francoeur J."
222,"Dawood M.K., Zheng H., Liew T.H., Leong K.C., Foo Y.L., Rajagopalan R., Khan S.A., Choi W.K."
223,"Ryan D., Ren K., Wu H."
224,"Fang F.C., Casadevall A."
225,"Shao Z., Luo Y., Zhao H."
226,"Hoesl M.G., Budisa N."
227,"Smolke C.D., Silver P.A."
228,"Arkin A.P., Schaffer D.V."
229,"Steffen W., Grinevald J., Crutzen P., Mcneill J."
230,"Galdzicki M., Rodriguez C., Chandran D., Sauro H.M., Gennari J.H."
231,"Schmidt M., Pei L."
232,"Shelkovnikov V.V., Loskutov V.A., Vasil'Ev E.V., Shekleina N.V., Ryabinin V.A., Sinyakov A.N."
233,"Spiller N., Armstrong R."
234,"Krivoruchko A., Siewers V., Nielsen J."
235,"Noireaux V., Maeda Y.T., Libchaber A."
236,Trosko J.E.
237,[No author name available]
238,"Vinuselvi P., Park J.M., Lee J.M., Oh K., Ghim C.-M., Lee S.K."
239,"Hauser S.L., Johnston S.C."
240,"Shi S., Valle-Rodriguez J.O., Siewers V., Nielsen J."
241,"Kim H., Jeong J., Bang D."
242,Spitzer M.
243,"Anastasia L., Piccoli M., Garatti A., Conforti E., Scaringi R., Bergante S., Castelvecchio S., Venerando B., Menicanti L., Tettamanti G."
244,"Fisher M.A., McKinley K.L., Bradley L.H., Viola S.R., Hecht M.H."
245,"Nimnual A.S., Mueller S., Ward C.B."
246,"Deng J., Deng L., Su S., Zhang M., Lin X., Wei L., Minai A.A., Hassett D.J., Lu L.J."
247,"Ellis T., Adie T., Baldwin G.S."
248,"Woolfson D.N., Bromley E.H."
249,"Edwards R., Jenkins T., Steel P., Roberts P."
250,Cai S.S.
251,"Medema M.H., Breitling R., Bovenberg R., Takano E."
252,"MacDonald J.T., Barnes C., Kitney R.I., Freemont P.S., Stan G.-B.V."
253,"Zhang L.Y., Chang S.H., Wang J."
254,"Stadler B., Price A.D., Zelikin A.N."
255,Sleator R.D.
256,"Sutherland W.J., Bardsley S., Bennun L., Clout M., Cote I.M., Depledge M.H., Dicks L.V., Dobson A.P., Fellman L., Fleishman E., Gibbons D.W., Impey A.J., Lawton J.H., Lickorish F., Lindenmayer D.B., Lovejoy T.E., Mac Nally R, Madgwick J., Peck L.S., Pretty J., Prior S.V., Redford K.H., Scharlemann J.P.W., Spalding M., Watkinson A.R."
257,de Lorenzo V.
258,De Lorenzo V.
259,"Liang J., Luo Y., Zhao H."
260,Yu A.K.
261,k last visited Jan. 18
262,Bricka J.-P.
263,"Peccoud J., Anderson J.C., Chandran D., Densmore D., Galdzicki M., Lux M.W., Rodriguez C.A., Stan G.-B., Sauro H.M."
264,"Suk J.E., Zmorzynska A., Hunger I., Biederbick W., Sasse J., Maidhof H., Semenza J.C."
265,"Noskov V.N., Chuang R.-Y., Gibson D.G., Leem S.-H., Larionov V., Kouprina N."
266,"Wang X., Sa N., Tian P.-F., Tan T.-W."
267,"Zhang H., Boghigian B.A., Armando J., Pfeifer B.A."
268,.
269,"Pan S.-Y., Pan S., Yu Z.-L., Ma D.-L., Chen S.-B., Fong W.-F., Han Y.-F., Ko K.-M."
270,rends Parasitol
271,Ferro E.S.
272,Lu T.K.
273,"Elowitz M., Lim W.A."
274,Keasling J.D.
275,Nielsen P.E.
276,Sleator R.D.
277,Piqueras M.
278,Johnson D.G.
279,"Vickers C.E., Blank L.M., Kromer J.O."
280,"Goltermann L., Bentin T."
281,"Fischbach M., Voigt C.A."
282,"Wilczynski B., Hvidsten T.R."
283,De Puytorac P.
284,Toomela A.
285,"Cobo L.C., Akyildiz I.F."
286,"Leonard J.N., Fritz B.R., Timmerman L.E., Daringer N.M., Jewett M.C."
287,Harman M.
288,"Algire M., Krishnakumar R., Merryman C."
289,"Matzas M., Stahler P.F., Kefer N., Siebelt N., Boisguerin V., Leonard J.T., Keller A., Stahler C.F., Haberle P., Gharizadeh B., Babrzadeh F., Church G.M."
290,Ranu R.S.
291,Wang H.H.
292,"Kosuri S., Eroshenko N., Leproust E.M., Super M., Way J., Li J.B., Church G.M."
293,Armengaud J.
294,Feder H.
295,"Haug M.C., Tanner S.A., Lacroix C., Meile L., Stevens M.J."
296,"Jensena H.M., Albersc A.E., Malley K.R., Londerd Y.Y., Cohen B.E., Helmsc B.A., Weigele P., Groves J.T., Ajo-Franklin C.M."
297,Kwok R.
298,"Tsunoda H., Kudo T., Ohkubo A., Seio K., Sekine M."
299,Tucker J.B.
300,de Lorenzo V.
301,"Zhang H., Jiang T."
302,"Douglas T., Savulescu J."
303,"Gibson D.G., Smith H.O., Hutchison C.A., Venter J.C., Merryman C."
304,Wendell D.W.
305,"Mat W.-K., Xue H., Wong J.T.-F."
306,"Weber A.P.M., Osteryoung K.W."
307,"Pielak G.J., Miklos A.C."
308,"Burbelo P.D., Ching K.H., Han B.L., Klimavicz C.M., Iadarola M.J."
309,"Borovkov A.Y., Loskutov A.V., Robida M.D., Day K.M., Cano J.A., Le Olson T., Patel H., Brown K., Hunter P.D., Sykes K.F."
310,"Jewett M.C., Forster A.C."
311,"Chen Z., Wilmanns M., Zeng A.-P."
312,"Lavaut-Sanchez K., Hernandez-Ramirez P."
313,"Bujara M., Panke S."
314,"Atsumi S., Connor M.R."
315,Bonaccorsi A.
316,"Samuel G., Selgelid M.J., Kerridge I."
317,"Chalancon G., Babu M.M."
318,Papon P.
319,Cohan F.M.
320,Williams R.
321,"Zenonos G., Kim J.E."
322,"dos Santos V.A.P.M., Damborsky J."
323,"Clancy K., Voigt C.A."
324,"Sun M., Li Y., Gao G.F."
325,Bornscheuer U.T.
326,"Cho M.K., Relman D.A."
327,"Henry C.S., Overbeek R., Stevens R.L."
328,Gowrishankar J.
329,"Zhao X., Bai F., Li Y."
330,[No author name available]
331,"Price N.D., Lee S.Y."
332,"Schmidt B.J., Lin-Schmidt X., Chamberlin A., Salehi-Ashtiani K., Papin J.A."
333,"Chan S., Sulston J."
334,Meissner M.
335,Legrain P.
336,Dev S.B.
337,Ramiro H.M.
