ID,Authors
82,"Koutinas M., Kiparissides A., Silva-Rocha R., Lam M.-C., Martins dos Santos V.A.P., de Lorenzo V., Pistikopoulos E.N., Mantalaris A."
83,"Rue P., Suel G.M., Garcia-Ojalvo J."
84,"Kobayashi Y., Shibata T., Kuramoto Y., Mikhailov A.S."
85,"de Murieta I.S., Miro-Bueno J.M., Rodriguez-Paton A."
86,"Siciliano V., Menolascina F., Marucci L., Fracassi C., Garzilli I., Moretti M.N., di Bernardo D."
87,"Zakharova A., Kurths J., Vadivasova T., Koseska A."
88,"Anand R., Rai N., Thattai M."
89,"Randall A., Guye P., Gupta S., Duportet X., Weiss R."
90,Salis H.M.
91,"Kamino K., Fujimoto K., Sawai S."
92,"Rue P., Garcia-Ojalvo J."
93,"Marucci L., Santini S., di Bernardo M., di Bernardo D."
94,"Kobrinsky E., Duong S.Q., Sheydina A., Soldatov N.M."
95,O'Malley M.A.
96,"Ferrell Jr. J.E., Tsai T.Y.-C., Yang Q."
97,"Schmidt M., Pei L."
98,Chen A.
99,"Marchisio M.A., Rudolf F."
100,"Purcell O., di Bernardo M., Grierson C.S., Savery N.J."
101,"Montagne K., Plasson R., Sakai Y., Fujii T., Rondelez Y."
102,"Kim J., Winfree E."
103,"Davis J.H., Rubin A.J., Sauer R.T."
104,"Wallden M., Elf J."
105,"MacDonald J.T., Barnes C., Kitney R.I., Freemont P.S., Stan G.-B.V."
106,"Schaber J., Klipp E."
107,"Ukai-Tadenuma M., Yamada R.G., Xu H., Ripperger J.A., Liu A.C., Ueda H.R."
108,"Liu B., Yan S., Wang Q."
109,"Mugler A., Grinshpun B., Franks R., Wiggins C.H."
110,"Dari A., Kia B., Bulsara A.R., Ditto W."
111,"Zhang D., Fakhrullin R.F., Ozmen M., Wang H., Wang J., Paunov V.N., Li G., Huang W.E."
112,Benenson Y.
113,"Koseska A., Kurths J."
114,"Morant P.-E., Thommen Q., Pfeuty B., Vandermoere C., Corellou F., Bouget F.-Y., Lefranc M."
115,Lu T.K.
116,"Bhattacharya A., Balazs A.C."
117,"Ayukawa S., Kobayashi A., Nakashima Y., Takagi H., Hamada S., Uchiyama M., Yugi K., Murata S., Sakakibara Y., Hagiya M., Yamamura M., Kiga D."
118,"Chandran D., Bergmann F.T., Sauro H.M."
119,"Nenchev V., Jacobsen E.W."
120,"Aubel D., Fussenegger M."
121,"Mengel B., Hunziker A., Pedersen L., Trusina A., Jensen M.H., Krishna S."
122,"Cobo L.C., Akyildiz I.F."
123,"Behar M., Hoffmann A."
124,"Glass L., Siegelmann H.T."
125,"Bower A.G., McClintock M.K., Fong S.S."
126,"Purcell O., Savery N.J., Grierson C.S., Di Bernardo M."
127,"Thommen Q., Pfeuty B., Morant P.-E., Corellou F., Bouget F.-Y., Lefranc M."
128,"Shin Y.-J., Bleris L."
129,"Zhang H., Jiang T."
130,"Gonze D., Hafner M."
131,"Wong I., Atsumi S., Huang W.-C., Wu T.-Y., Hanai T., Lam M.-L., Tang P., Yang J., Liao J.C., Ho C.-M."
132,"Toettcher J.E., Mock C., Batchelor E., Loewer A., Lahav G."
133,"Hu B., Du J., Zou R.-Y., Yuan Y.-J."
134,"Winstead C., Madsen C., Myers C."
135,"Marguet P., Tanouchi Y., Spitz E., Smith C., You L."
136,"Bagh S., Mandal M., McMillen D.R."
137,"Zhang J., Yuan Z., Li H.-X., Zhou T."
138,"Bhattacharya A., Balazs A.C."
139,"Clancy K., Voigt C.A."
140,"Susaki E.A., Stelling J., Ueda H.R."
141,"Sayut D.J., Sun L."
142,"Mitrophanov A.Y., Hadley T.J., Groisman E.A."
143,"Szita N., Polizzi K., Jaccard N., Baganz F."
144,"Kittisopikul M., Suel G.M."
145,"Cox III R.S., Dunlop M.J., Elowitz M.B."
146,"Strelkowa N., Barahona M."
147,"Kobayashi Y., Shibata T., Kuramoto Y., Mikhailov A.S."
148,"Sevim V., Gong X., Socolar J.E.S."
149,"Zheng Y., Sriram G."
150,"Bashor C.J., Horwitz A.A., Peisajovich S.G., Lim W.A."
151,"Walker J.J., Terry J.R., Lightman S.L."
152,"Nowak S.A., Chakrabarti B., Chou T., Gopinathan A."
153,"Munteanu A., Constante M., Isalan M., Sole R.V."
154,"Khalil A.S., Collins J.J."
155,"Lepzelter D., Feng H., Wang J."
156,"Nistala G.J., Wu K., Rao C.V., Bhalerao K.D."
157,"Rodrigo G., Carrera J., Elena S.F., Jaramillo A."
158,Yang X.
159,"Hernandez-Valdez A., Santillan M., Zeron E.S."
160,Ninfa A.J.
161,"Dietz S., Panke S."
162,"Min B., Goh K.-I., Kim I.-M."
163,"Tigges M., Denervaud N., Greber D., Stelling J., Fussenegger M."
164,"Koseska A., Ullner E., Volkov E., Kurths J., Garcia-Ojalvo J."
165,"Kampf M.M., Weber W."
166,"Hyduke D.R., Palsson B.O."
167,"Veiga D.F.T., Dutta B., Balazsi G."
168,"Ripperger J.A., Brown S.A."
169,ssues (2004) Proc Natl Acad Sci USA
170,Tavassoli A.
171,"Shin Y.-J., Lee J.-B."
172,"Orosz G., Moehlis J., Murray R.M."
173,Fussenegger M.
174,Kwok R.
175,"Danino T., Mondragon-Palomino O., Tsimring L., Hasty J."
176,"Goldbeter A., Gerard C., Leloup J.-C."
177,"Foley P.L., Shuler M.L."
178,"Cookson N.A., Tsimring L.S., Hasty J."
179,"Bueno J.M.M., Rodriguez-Paton A."
180,"Lu T.K., Khalil A.S., Collins J.J."
181,"Marucci L., Barton D.A.W., Cantone I., Ricci M.A., Cosma M.P., Santini S., di Bernardo D., di Bernardo M."
182,"Mukherji S., Van Oudenaarden A."
183,"Alterovitz G., Muso T., Ramoni M.F."
184,"Schwille P., Diez S."
185, M.A.
186,Shearwin K.
187,"Cagatay T., Turcotte M., Elowitz M.B., Garcia-Ojalvo J., Suel G.M."
188,"Chandran D., Bergmann F.T., Sauro H.M."
189,"Bentley K., Mariggi G., Gerhardt H., Bates P.A."
190,"Salis H.M., Mirsky E.A., Voigt C.A."
191,"Weber W., Fussenegger M."
192,"Cai Y., Lux M.W., Adam L., Peccoud J."
193,"Kay E., Wren B.W."
194,"Matsuoka Y., Ghosh S., Kitano H."
195,"Boyle P.M., Silver P.A."
196,"Tian X.-J., Zhang X.-P., Liu F., Wang W."
197,"Czar M.J., Cai Y., Peccoud J."
198,"Tigges M., Fussenegger M."
199,"Tanouchi Y., Pai A., You L."
200,"Weber W., Schuetz M., Denervaud N., Fussenegger M."
201,"Agapakis C.M., Silver P.A."
202,"Tabor J.J., Salis H.M., Simpson Z.B., Chevalier A.A., Levskaya A., Marcotte E.M., Voigt C.A., Ellington A.D."
203,"Sohka T., Heins R.A., Phelan R.M., Greisler J.M., Townsend C.A., Ostermeier M."
204,"Purnick P.E.M., Weiss R."
205,Bhalerao K.D.
206,"Friedland A.E., Lu T.K., Wang X., Shi D., Church G., Collins J.J."
207,"Bennett M.R., Hasty J."
208,"Ellis T., Wang X., Collins J.J."
209,"Locke J.C.W., Elowitz M.B."
210,"Zhang J., Yuan Z., Zhou T."
211,"Nevozhay D., Adams R.M., Murphy K.F., Josic K., Balazsi G."
212,Pryciak P.M.
213,"Weber W., Fussenegger M."
214,"Ukai H., Ueda H.R."
215,"Mather W., Bennett M.R., Hasty J., Tsimring L.S."
216,Gross M.
217,"Gore J., Van Oudenaarden A."
218,"Chandran D., Copeland W.B., Sleight S.C., Sauro H.M."
