ID,Authors
84,"Zhang X., Li M., Agrawal A., San K.-Y."
85,"Nawabi P., Bauer S., Kyrpides N., Lykidis A."
86,Zhang Y.-H.P.
87,tes in the oxidative pentose phosphate pathway by soybean and pea nodule extracts
88,"Lennen R.M., Kruziki M.A., Kumar K., Zinkel R.A., Burnum K.E., Lipton M.S., Hoover S.W., Ranatunga D.R., Wittkopp T.M., Marner W.D., Pfleger B.F."
89,"Koryakina I., Williams G.J."
90,Dunlop M.J.
91,Pleiss J.
92,"Cambray G., Mutalik V.K., Arkin A.P."
93,"Vinuselvi P., Lee S.K."
94,"Hawkins A.S., Han Y., Lian H., Loder A.J., Menon A.L., Iwuchukwu I.J., Keller M., Leuko T.T., Adams M.W.W., Kelly R.M."
95,Zhang Y.-H.P.
96,Bornscheuer U.
97,"Liu D., Du J., Zhao G., Yuan Y."
98,"Zhou Y.J., Zhao Z.K."
99,"Behrens G.A., Hummel A., Padhi S.K., Schatzle S., Bornscheuer U.T."
100,"Pu Y., Kosa M., Kalluri U.C., Tuskan G.A., Ragauskas A.J."
101,"Saeidi N., Wong C.K., Lo T.-M., Nguyen H.X., Ling H., Leong S.S.J., Poh C.L., Chang M.W."
102,"Zhang K., Woodruff A.P., Xiong M., Zhou J., Dhande Y.K."
103,"Liu F., Li W., Sun Q., Zhu L., Meng X., Guo Y.-H., Xiao F.-S."
104,"Dellomonaco C., Clomburg J.M., Miller E.N., Gonzalez R."
105,"Gather M.C., Yun S.H."
106,"Reindl W., Deng K., Gladden J.M., Cheng G., Wong A., Singer S.W., Singh S., Lee J.-C., Yao C.-H., Hazen T.C., Singh A.K., Simmons B.A., Adams P.D., Northen T.R."
107,"Woodruff L.B.A., Gill R.T."
108,"Lee J.W., Kim T.Y., Jang Y.-S., Choi S., Lee S.Y."
109,"Du J., Shao Z., Zhao H."
110,n to microbial P450 s and unique features (2000) J Inorg Biochem
111,"Quintana N., Van Der Kooy F., Van De Rhee M.D., Voshol G.P., Verpoorte R."
112,
113,"Das D., Eser B.E., Han J., Sciore A., Marsh E.N.G."
114,"Huang W.-D., Zhang Y.-H.P."
115,"Chundawat S.P.S., Beckham G.T., Himmel M.E., Dale B.E."
116,mentation of poplar hydrolysates processed by different pretreatment technologies (2009) Biotechnol. Prog.
117,"Pinzon N.M., Aukema K.G., Gralnick J.A., Wackett L.P."
118,"Zhang F., Keasling J."
119,"Trinh C.T., Li J., Blanch H.W., Clark D.S."
120,"Yousofshahi M., Lee K., Hassoun S."
121,"Hoover S.W., Marner W.D., Brownson A.K., Lennen R.M., Wittkopp T.M., Yoshitani J., Zulkifly S., Graham L.E., Chaston S.D., McMahon K.D., Pfleger B.F."
122,"Carlsson A.S., Yilmaz J.L., Green A.G., Stymne S., Hofvander P."
123,"Weeks A.M., Chang M.C.Y."
124,lay of mechanism and specificity (2005) Archives of Biochemistry and Biophysics
125,"Westfall P.J., Gardner T.S."
126,"Fei Q., Chang H.N., Shang L., Choi J.-D.-R."
127,"Xing R., Qi W., Huber G.W."
128,Wackett L.P.
129,"Rhodius V.A., Gross C.A."
130,"Duan Y., Zhu Z., Cai K., Tan X., Lu X."
131,"Jaschke A., Micura R., Grunweller A., Hartmann R., Helm M., Liebl W., Merkel L., Budisa N., Sundermann U., Kushnir S., Schulz F."
132,Brase S.
133,"Frohlich P., Andrea K., Stefan E., Michael K."
134,"Santala S., Efimova E., Kivinen V., Larjo A., Aho T., Karp M., Santala V."
135,"Jenkins T., Bovi A., Edwards R."
136,"Mercer P., Armenta R.E."
137,"Beopoulos A., Nicaud J.-M., Gaillardin C."
138,"Jojima T., Inui M., Yukawa H."
139,"Balabin R.M., Smirnov S.V."
140,"Liu X., Sheng J., Curtiss III R."
141,"Gehret J.J., Gu L., Gerwick W.H., Wipf P., Sherman D.H., Smith J.L."
142,"Biermann U., Bornscheuer U., Meier M.A.R., Metzger J.O., Schafer H.J."
143,"Beckham G.T., Matthews J.F., Peters B., Bomble Y.J., Himmel M.E., Crowley M.F."
144,Mielenz J.R.
145,"Huo Y.-X., Cho K.M., Rivera J.G.L., Monte E., Shen C.R., Yan Y., Liao J.C."
146,"Bond-Watts B.B., Bellerose R.J., Chang M.C.Y."
147,"Donath II M.J., Dominguez M.A., Withers III S.T."
148,"Wang Y., Huang W., Sathitsuksanoh N., Zhu Z., Zhang Y.-H.P."
149,De Maria P.D.
150,"Balabin R.M., Safieva R.Z."
151,"Ueda M., Sakuragi H., Kuroda K."
152,"Galdzicki M., Rodriguez C., Chandran D., Sauro H.M., Gennari J.H."
153,"Huang W.-D., Percival Zhang Y.-H."
154,"Shi S., Valle-Rodriguez J.O., Siewers V., Nielsen J."
155,"Tan X., Yao L., Gao Q., Wang W., Qi F., Lu X."
156,"Gutierrez A., Lopez-Garcia S., Garre V."
157,"Zhao Z.K., Hu C."
158,"Vinuselvi P., Park J.M., Lee J.M., Oh K., Ghim C.-M., Lee S.K."
159,"Moon T.S., Clarke E.J., Groban E.S., Tamsir A., Clark R.M., Eames M., Kortemme T., Voigt C.A."
160,"Tepper N., Shlomi T."
161,"Edwards R., Jenkins T., Steel P., Roberts P."
162,"Fei Q., Chang H.N., Shang L., Choi J.-D.-R., Kim N., Kang J."
163,"Kosa M., Ragauskas A.J."
164,"van Bloois E., Winter R.T., Kolmar H., Fraaije M.W."
165,"Medema M.H., Breitling R., Bovenberg R., Takano E."
166,"Porro D., Gasser B., Fossati T., Maurer M., Branduardi P., Sauer M., Mattanovich D."
167,"Leonard A., Dandoy P., Danloy E., Leroux G., Meunier C.F., Rooke J.C., Su B.-L."
168,"Zhang L.Y., Chang S.H., Wang J."
169,"Kumar R., Shimizu K."
170,"Tolonen A.C., Haas W., Chilaka A.C., Aach J., Gygi S.P., Church G.M."
171,Meyer H.-P.
172,Reetz M.T.
173,
174,Bricka J.-P.
175,"Qian Z.-G., Xia X.-X., Lee S.Y."
176,"Handke P., Lynch S.A., Gill R.T."
177,Keasling J.D.
178,"Papamichail D., Papamichail G."
179,"Leonard J.N., Fritz B.R., Timmerman L.E., Daringer N.M., Jewett M.C."
180,"Chandran D., Bergmann F.T., Sauro H.M."
181,"Shin H.-D., McClendon S., Vo T., Chen R.R."
182,"Liu T., Khosla C."
183,"Kinney A.J., Clemente T.E."
184,Berry D.A.
185,"Tomsheck A.R., Strobel G.A., Booth E., Geary B., Spakowicz D., Knighton B., Floerchinger C., Sears J., Liarzi O., Ezra D."
186,Lu X.
187,"Zhang H., Jiang T."
188,"Jewett M.C., Forster A.C."
189,"Zhang Y.-H.P., Sun J., Zhong J.-J."
190,"Elkins J.G., Raman B., Keller M."
191,Babu M.M.
192,ion regulation in E. coli (2007) PLoS ONE
193,"Atsumi S., Connor M.R."
194,"Wieczorek A.S., Martin V.J.J."
195,"Frias J.A., Goblirsch B.R., Wackett L.P., Wilmot C.M."
196,Clarke N.D.
197,Bornscheuer U.T.
198,"Fang L., Xing R., Wu H., Li X., Liu Y., Wu P."
199,Wessel G.M.
200,"Liu T., Vora H., Khosla C."
201,"Elbahloult Y., Steinbuchel A."
202,"Zhao X., Bai F., Li Y."
203,"Weber C., Farwick A., Benisch F., Brat D., Dietz H., Subtil T., Boles E."
204,"Meunier C.F., Rooke J.C., Leonard A., Xie H., Su B.-L."
205,"Na D., Kim T.Y., Lee S.Y."
206,"Sukovich D.J., Seffernick J.L., Richman J.E., Hunt K.A., Gralnick J.A., Wackett L.P."
207,"Walter J.M., Greenfield D., Liphardt J."
208,"Reindl W., Northen T.R."
209,"Khalil A.S., Collins J.J."
210,"Beller H.R., Goh E.-B., Keasling J.D."
211,"Ghim C.-M., Kim T., Mitchell R.J., Lee S.K."
