date,author,title,text
1972,lotz  john.,a selected bibliography on script and language,a chronological bibliography of 14 citations dealing with the problem of script. (mm)
1972,steiner  george.,after the book?,the status of the book is changing  as is the make-up of the language-world   we inhabit. the written word has become a caption for the visual and musical image. (author)
1972,steiner  george.,after the book?,today  the enveloping matrix of existent intellectual and emotional lives is not a reader s climate. the status of the book is changing  as is the modern language-world. the written word persists  but new forms for its circulation will bring alterations of sensibilities and modification of discovery habits.
1972,brain  john valentine.,books in the running brooks  some thoughts on the use of cultural adversity,with respect to george steiner s article (see preceding abstract.)  the question is raised whether the alleged decline in book reading and the appreciation of the classics has actually occurred. the system of allusive reference to classical myths and archetypes has fallen into decay  but it is suggested that the rationalizing dynamic of such backward-looking systems of classical reference has its origins in contemporary socio-political needs  not in the historical traditions they claim to derive from. the creative elements in renaissance classicism  for instance  derive their creative energy from the novelty of discovery and the alternatives offered to existing patterns of thought and belief  and not from the continuity of the tradition itself. the dominant influence on the ideas of our own time has been the impact of scientific and historical events--which constitute our own kind of mythology--rather than literary or philosophical ideas. after current scientific and ecological concerns have run their course  a new classicism may emerge in which the book as we now know it will continue to play an important part.
1972,brain  john v  and others.,four replies to george steiner s address to the ferguson seminar in publishing,contains replies to george steiner s  after the book?   (same issue  p197-210) by john v. brain  norman s. fiering  john freeman  and leland e. warren. (rb)
1972,gough  philip b.,one second of reading,two general topics are discussed  (1) the sequence of events that transpire in one second of reading  to suggest the nature of the processes that link them  and (2) the relation of this description to the acquisition of reading. contains a list of 71 references. (rb)
1972,gough  philip b.,one second of reading,two general topics are discussed  (1) the sequence of events that transpire in one second of reading  to suggest the nature of the processes that link them  and (2) the relation of this description to the acquisition of reading. reading involves a rapid succession of intricate events--formation of a visual icon  letter-by-letter identification  and association with meaning through transposition into abstract phonemic representation--carried out with amazing rapidity and coordination in our complex information processing system. when first approaching reading  the child lacks the character recognition device (the scanner) and the device to convert the characters  once recognized  into systematic phonemic representations (the decoder). specification of the mechanism by which letters are mapped onto entries in our mental lexicon is the fundamental problem of reading research.
1972,furby  lita.,the development of word perception and problem solving strategies,examines children s word perception demonstrating the role of piaget s perceptual development formation and individual aptitude differences in problem solving strategies. (mm)
1972,powell  marvin a  jr.,the origin of the sexagesimal system  the interaction of language and writing,shows how the sumerian language imposed the sexagesimal character of its numeration upon the graphic system
1972,ohlgren  thomas h.,visual language in the old english caedmonian genesis,considers the ways in which the artist of one biblical narrative  the old english  caedmonian genesis    successfully created a consecutive series of visual episodes which correspond to the narrative sequence of the poetic text. (author)
1973,friedman  daniel.,a view  introductory education in typography,design schools which deal with typography are plagued with inviable conventions  the phase out of typography as a handicraft  and an inaccessibility to the potentials of the newer  more complex  type-setting systems. typographic form is being taught in terms of outdated mechanics and popular fashions  no teaching methodology exists which will transcend the technical and stylistic and deal only with the generically perceptual or visual. some examples of a simple typography exercise are displayed and from this exercise  general observations are presented regarding simplicity and complexity  rhythmic structure  coherency  convention  unpredictability  legibility  and readability.
1973,hewes  gordon winant.,an explicit formulation of the relationship between tool-using  tool-making  and the emergence of language,if man s propositional language did not begin with speech  but with a manual gesture or sign language system  a plausible model can be built in which tool making and tool using play an important part in language emergence. even in modern speaking cultures  we learn to use tools or weapons mainly by observation of their use by others  and by signs and gestures--rather than through speech. the motor and neural elements involved in manipulation of objects and in gestural communication are very similar. the fundamental visual basis of human cognition is stressed.
1973,blesser  b  shillman  r  cox  c  kublinski  t  ventura  j  et al.,character recognition based on phenomenological attributes,a theoretical approach is suggested for describing upper-case letters  not in terms of physical attributes of their archetypes  but in terms of more general descriptions of their underlying representations. a method is presented for finding these general descriptions through the study of ambiguous characters. functional attributes are the describers of the underlying representations of letters. the relations between the physical attributes of the input character and the functional attributes that specify its identity are given in part by graphical context rules which incorporate the stylistic consistency within the character itself and its neighbors. the implications of our theory of characters to the areas of computerized character recognition and type design are noted. ha
1973,venturi  robert  and others.,excerpt  learning from las vegas,discusses the message of modern architecture as exemplified by the las vegas strip. (rb)
1973,lehman  c l.,handwriting legibility  a method of objective evaluation,a rationale and method is presented for objective evaluation of handwriting according to legibility criteria for the roman alphabet and its slanted version  italic  letter angle  letter length  spacing between letters  and the shaping of counter spaces. inaccurate performance of letters according to these criteria reduces legibility in our roman-reading culture in proportion to deviation from the system of visual order. measurement procedures and a flowchart description of the computer process are given. preliminary findings of a comparative study being made between the commonly taught printscript and a simple italic hand are noted and identified for potential use in modification of curriculum design and teaching practices. ha
1973,lehman  c l.,handwriting legibility  a method of objective evaluation,presents a rationale and method for objective evaluation of handwriting according to legibility criteria for the roman alphabet and its slanted version. (to)
1973,downing  john.,is literacy acquisition easier in some languages than in others?,it is frequently asserted that the chinese logographic writing system is more difficult to learn than the english alphabetic system. this view seems to be based chiefly on the belief that the large number of chinese characters is a heavy burden on the student. but this may be a misconception for two reasons  (1) there are far more items to be learned in the english system than is generally recognized  and (2) the sheer number of characters to be learned is not in itself an important psychological factor. what is more important is the extent of redundancy in the system. numerous alternatives may conceal the nature of the written code from the beginner and cause confusion. this and other variables in the writing system may prevent the child from perceiving that writing and print are indeed visible language.
1973,douglass  malcolm p.,reading between and beyond the lines,explores the rationale and the need to implement the holistic method of reading instruction. (rb)
1973,douglass  malcolm p.,reading between and beyond the lines,rather than be bound by traditional assumptions about reading--e.g.  that learning to read is a difficult task for a child and counter to his natural learning processes--we should view reading holistically. a child s earliest attempts at handling visible language symbols parallel his earliest efforts to speak and to listen  and these attempts emerge naturally as a part of normal human development. we can teach reading only indirectly. our efforts should nurture the spontaneous nature of language learning and should provide the climate and opportunity for a child to write and to read in the broadest possible context--including the reading of symbols  gestures  works of art  etc. ha
1973,hartley  james  timson  susan j  burnhill  peter.,research in brief  subjective preference and retrieval of information from reference materials,a report of an investigation concerned with the ease of information retriev from a printed page and its relationship to the attractiveness of the printed version concerned. the rank order of the preferences of twenty students for eight versions of a page from an imaginary good food guide was determined. the two most preferred were tested against the two least preferred versions in terms of information retrieval. marked preferences were found  but there was no significant relation between preference for a version and efficiency of information retrieval from it. it appears that the labelling of specific information by the use of markers  such as asterisks  is more efficient than adopting variants from the typographical norm. the results suggest that the present practice of selecting a specific layout on stylistic grounds may be misguided if information retrieval is crucial.
1973,wright  patricia.,research in brief  understanding tabular displays,a summarization of the results of several investigations into both logic and the display aspects of different tabulation schemes. these experimental studies show that people find some tabulation logics difficult to understand  particularly if the user of the table is required to carry out operations in addition to searching for items of information. such complex tabulation schemes have been found to markedly reduce the size of the population of competent users  it is therefore evident that tabulation schemes requiring synthetic or analytic operations on the part of the user achieve economy of space at the cost of comprehension. this was found to be true both of two-dimensional matrices and tables involving simple arithmetic. one of the necessary prerequisities for the successful use of matrix formats is the user s familiarity with the relevant dimensions of the problem he is trying to solve  rather than his familiarity with the table itself. when information about the outcomes of complex conjunctive and disjunctive contingencies must be presented  the use of a flow chart  or logical tree  can often be more effective than other ways of presenting the same information. but when such information must be committed to memory  this is more easily achieved with formats such as lists of short sentences. list structures are also common in numerical (conversion) tables giving the relation between pairs of items. aa
1973,kindersley  david.,space craft,the proper fit  or spacing of letters  has been next to impossible using the type-bearing metal rectangular forms required by typographic engineering  rather  it has required the letter-by-letter attention of an artist letterer. the advent of film composition and computer technology makes possible again the proper coordination of spacing and design of letter forms. in typography  space and letter are one. optically adjusted text spacing will require attention to the subtleties of each letter s optical center and the inner forces involved in our eye s perception of these letterforms. an optical letter spacer is described  and its application for reading research is discussed. ha
1973,conway  patricia.,subway graffiti in new york city,a discussion (excerpted from an earlier article in print  vol. 27  1973.)  of the current new york city trend of ghetto teenagers spraypainting subway cars and walls with their personal logos and motifs. public reaction is noted and analyzed  and the graffiti-ists  motives are considered. r. kidd
1973,cushman  donald r.,the cue summation theory tested with meaningful verbal information,concludes that combined audiovisual presentations were significantly superior to either audio or visual presentations of information  thus confirming the validity of the cue summation theory. (rb)
1973,cushman  donald r.,the cue summation theory tested with meaningful verbal information,no previous studies pertaining to hartman s cue summation theory (redundant information simultaneously presented by the audio and the visual channels results in greater efficiency in learning than does the same information in either channel alone.) could be found which utilized meaningful verbal information as stimulus material. students were presented material fitting this criterion and were tested for affective responses and cognitive recall. comparisons of results were made between three separate presentation procedures  audio alone  visual alone  and combined audiovisual. comparisons of affective responses did not indicate significant differences  but analyses of cognitive data demonstrated the combined audiovisual treatment resulting in half the number of errors as either the audio or the visual treatments alone. ha
1973,timko  henry g.,the discrimination of three types of graphic stimuli,forty four year olds and 40 six year olds were tested on a matching-to-sample discrimination task to determine the relationship between social class status and the visual perception of graphic stimuli--matched according to critical feature transformations. english letters  letter-like forms  and line drawings of faces with embedded letters were equally divided into two confusability levels and three task levels. analysis of variance on error scores revealed differences between age groups  stimulus types  confusability levels  and task levels. social class differences were observed on highly confusable english letters among six year olds  but not among the four year olds. no significant age by social class differences were found on letter-like forms or faces.
1973,barber  e j w.,the formal economy of written signs,those portions of a sign s shape which are distinctive  yet in themselves valueless  can be viewed as forming a system. such systems have ranged historically from the very loose to the very tight. when the possibilities of arranging these elements are also considered  the great range in economy of design becomes even more apparent. our own roman script  in fact  is rather inefficient in these terms  morse code  on the other hand  is quite efficient  though not perfect. it might prove useful to develop other scripts based on these principles of internal economy. but economy of form is not the same as efficiency of use  it is merely one possible component of efficiency  and must be carefully distinguished as such.
1973,pollak  michael.,the prophetess deborah and the invention of printing,a colophon in one of the earliest dated imprints in the hebrew language (1475) extols the mystery and power of the newly invented printing press. seemingly unnoticed by printing and bibliographical scholars working outside the area of hebraica  the colophon is translated into english and its poetic compositin discussed. ha
1973,harary  frank.,typographs,typographs are defined as graphs derived from letters. a method for classification of letters by their underlying graphic structure is illustrated. a classification of the upper-case roman letters is presented  and tables of typographs are compiled as well for the roman numerals and the lower-case script letters. the possibility of devising new alphabets is mentioned. ha
1973,hoffmann  william e.,vision  sign  and inference,suggests a connection between the perceptual world taken as a system of signs and the system of signs we normally think of as visible language and defends this thesis. (to)
1973,hoffmann  william e.,vision  sign  and inference,the thesis that perceiving--and by implication  vision--is inferential or semiotic is defended. whenever a person sees an object  that object s stimulation of the perceiver functions as a sign that is interpreted in the conscious response of the perceiver  the stimulation functions as a premise from which the perceiver infers a conclusion which is a conscious response. the argument has two basic steps. first  that perception is a three-termed relationship between the object perceived  a mediating element  and a conscious response  certain facts about how we perceive with the minor senses are taken into account  and cases of identical stimuli resulting in different responses are suggested as evidence that perception is mediated. secondly  this mediating element takes the form of a sign which is interpreted by the conscious response  or a set of premises for which the conscious response is a conclusion  some of charles sanders peirce s ideas about perception and signs are developed--especially his concept of a percept and a perceptual judgment  and his classification of signs. there is an important similarity between the perceptual world taken as a system of signs  and the system of signs ordinarily though of as visible language. just as one learns to read  one learns to perceive. ha
1974,shillman  r  cox  c  kuklinski  t  ventura  j  eden  m  et al.,a bibliography in character recognition  techniques for describing characters,a bibliography of publications in the field of character recognition. many of the references are from the fields of engineering and psychology and deal with various techniques for describing machine and hand-printed characters. the listings are divided into five categories with sublistings  (1) general references and review papers  (2) engineering descriptions of characters  (3) psychological descriptions  (4) insight through the study of character formation  and (5) relevant journals. no annotations are included. modified ha
1974,crouwel  wim.,a proposition for education in letterforms and handwriting,education should provide the means to find a personal form of expression through letterforms  it should not be restricted to an established system for copying existing styles. a new starting point for creating letterforms (as well as for design in general)--based on a system of regular pattern in the widest sense--would create a system allowing the greatest freedom and flexibility. utility and self-expression are equally important in teaching a child to write--and  at the same time  to recognize patterns and the basic rules of form and shape. ha
1974,herrick  earl m.,a taxonomy of alphabets and scripts,a taxonomy or system of classification if set forth to describe alphabets and to indicate the various degrees of formal similarity which they bear to one another. the principles of this taxonomy  largely borrowed from the biological sciences  are briefly stated  three taxonomic levels  corresponding to three degrees of similarity  are then defined. for each level  the kinds and degrees of similarity which alphabets must have to be included within one taxon are described  these similarities are illustrated by several different taxa and some of the alphabets which belong to them. several problems in the comparison of writing systems which will require further research are considered. ha
1974,herrick  earl m.,a taxonomy of alphabets and scripts,describes a system of classification to describe alphabets and to show the various degrees of formal similarity which they bear to one another. (to)
1974,beiman  abbie w.,concrete poetry  a study in metaphor,various characteristics of concrete poetry have been examined but little attention has been focused on this art form s contribution to literature. indeed  the concrete poem exemplifies a dramatic variation in the most basic element of poetry  figurative language. traditionally  figurative language has established a relationship between the tangible objects around man and the intangibles which he seeks to know. the most common form of such figurative yokings has been the metaphor  a trope that creates a tension between the similarities and dissimilarities of the juxtaposed elements. with concrete poetry the focus of that trope is no longer just the abstract and spiritual leg of the metaphor  but the sensory perception of the literal and concrete as well. ha
1974,reineck  gay beste.,design in brief  word forms,because we are continually surrounded by words  sounds  and images  our perception often becomes dulled and linear. perhaps our perceptual capabilities need and enjoy the surprise stimulation of an unexpected visual statement. words  as symbols  possess the power to evoke the meanings that they signify  when treated as visual statements their form goes beyond language  creating a deeper feeling of the word. graphic designers working in the field of visual communication are confronted with problems that cover a wide variety of subjects  content matter  and message  which nearly always contain words--sometimes a single word  sometimes a group of words. the meaning and interpretation of a word or group of words is explored  and from this exploration  a strong visual statement that clothes the word words is developed  transmitting directly their content. this exploration  which is a synthesis of words into visual forms  is an approach toward a more visual interpretation of language. ha
1974,lettieri  larry.,excerpt  which computer printer when?,the computer printer has become an indispensable part of the data processing operation. there are two basic types of printer  the impact printer and the non-impact type. within each category several types are considered. basically in the impact printer category  be it a serial  dot matrix chain  or drum printer  the common feature is that an impact is used either to bring the paper to the character or the character to the paper. in the non-impact field there are several techniques. there is the electrostatic type in which an electrostatic pattern is transferred to the paper and which  consequently attracts the particles of ink  thereby forming an image. similarily  the magnetic non-impact printer uses magnetically affected particles on a belt. the belt  after being treated by a colored toner  is fused to paper  thus producing the image. heat is used on heat sensitive paper in the thermal printer  and the ink jet process uses a charged stream of ink drops which are deflected by electrostatic plates onto special papers which catch the image. the advantages of the non-impact printers are twofold  they are silent and faster  approaching 5000 lines per min  but the paper is costly. the impact type are cleaner and less expensive  but they remain slower with upper speeds approaching 1000 lines per min. p. rodriguez
1974,gray  nicolete.,lettering and society,in lettering education both the application of geometric principles and the study of the past are important. (hod)
1974,gray  nicolete.,lettering and society,lettering is omnipresent in our daily lives and takes a great variety of forms  it involves two different types of reading behavior  private and voluntary  public and involuntary. there is little physical similarity between the two. thought of as a medium  the physical qualities of lettering--color  form  and dimension--regain importance. lettering can transmit not only the meaning of the words but also an attitude toward those words. criteria for which public lettering should be judged are presented. socially  public lettering should enrich our environment through creative variety of all appropriate letter styles. in lettering education  both the application of geometric principles and the study of the past are important. the past can provide models  ideas  and inspiration toward the many directions lettering can be extended  no legible letter is obsolete. ha
1974,bormuth  john r.,literacy policy and the emerging technology of readability,outlines some of the arguments that favor accelerating the development of the technology of readability in developing nations. (rb)
1974,bormuth  john r.,literacy policy and the emerging technology of readability,the procedures for predicting and adjusting the comprehensibility of printed prose have steadily progressed from the status of an art  through that of a quasi-science  and are now emerging as a scientific technology having considerable generality and precision. of special interest is the fact that this body of knowledge has much potential for enhancing the effectiveness of a nation s efforts to achieve a desirable level of literacy in its population while  at the same time  reducing the costs of those efforts. some of the arguments that favor accelerating the development of this technology in the developed nations and the founding of the technology in the native languages of developing nations are outlined. ha
1974,clay  marie m.,orientation to the spatial characteristics of the open book,one of the first code-breaking activities for the beginning reader concerns the arbitrary conventions of how books are presented. the orientation to the spatial characteristics of visible language was observed in four five year old identical girls through the developmental progression of their hand behavior while reading. preliminary theoretical explanations are offered in terms of bilateral nervous systems  handedness and reading  and perceptual strategies of visual analysis of stimuli. ha
1974,barganz  robert a.,phonological and orthographic relationships to reading performance,a report of a study that investigated the use of an intermediate level of orthographic representation based upon the theoretical framework of transformational generative grammar. a general objective was to determine whether a system of semantic correspondence was utilized when irrelevant phonetic aspects of orthography were encountered by good and poor readers from a fifth grade population. a 2*2*4 factorial design was employed to investigate the effects of reading ability (good and poor)  word reality (real and pseudo)  and mode of presentation for stimuli and response items (oral and written). good readers performed better than poor readers at a statistically significant level (p .0005) on those tasks which required recognizing regularities on a deep level. when regularities were recognized on a surface level  these differences between good and poor readers diminished. good readers appeared to display a search technique which abandons a simpler level of correspondence in favor of one more efficient  one which precludes grapheme phoneme correspondences for one directed toward semantic correspondence. ha
1974,barganz  robert a.,phonological and orthographic relationships to reading performance,investigated the use of an intermediate level of orthographic representation based upon the theoretical framework of transformational-generative grammar. (rb)
1974,ehri  linnea c  wilce  lee s.,printed intonation cues and reading in children,eighty third and fourth graders read one of four types of printed text  standard print  print in which the word size was varied to reflect aspects of speech intonation (three stress-pitch levels)  print in which word size reflected differences in the grammatical form class of words  and print in which word size was varied randomly. reading speed and comprehension with standard print were compared to performances with each of the other texts. results reveal that the intoned text was read faster than the standard text by third graders but not by fourth graders. no other major effects were observed. findings  though preliminary  are consistent with the view that less experienced readers transform graphic to aural input before deriving a semantic interpretation. ha
1974,gelb  i j.,records  writing  and decipherment,written records together with material remains derived from excavations form the main bases for our understanding of past civilization and their underlying language systems. there is no systematic treatment of written records  and little attention has been paid to the interrelationship between ancient writing and language. full systems of writing express language at two levels--morphological and phonetic--which give rise to three basic writing system types--logo-syllabic  syllabic  and alphabetic. four categories of decipherment based on our relative knowledge of the writing system and the language are discussed  known writing  known language  unknown writing known language  known writing  unknown language  and unknown writing unknown language. from a cryptanalytic point of view there are two general decipherment methods  (1) utilization of external information to determine probable contents (e.g.  bilingual texts)  and (2) internal information from an analysis of the text itself (structure and typology). the assumption of the underlying language is critical for deciphering procedures and provides the test of successful decipherment. ha
1974,clay  marie m.,research in brief  orientation to the spatial characteristics of the open book,preliminary theoretical explanations for visual analysis of stimuli are offered in terms of bilateral nervous systems  handedness and reading  and perceptual strategies. (rb)
1974,ehri  linnea c  wilce  lee s.,research in brief  printed intonation cues and reading in children,preliminary findings are consistent with the view that less experienced readers transform graphic to aural input before deriving a semantic interpretation. (rb)
1974,raben  joseph.,the humanist in the computer lab,attempts made thus far to utilize computers in studying the humanities have resulted more in a fundamental analysis of the subject areas themselves than in any significant results. the problems of inputting and outputting  of determining what processes may appropriately be employed  and of developing new processes not derived from the customary numerical approaches which presently dominate computer thinking--all these have delayed what had been expected to be a dramatic advance into a new order of humanistic criticism. the most substantial accomplishments to date have been the rationalized lists of words (dictionaries  indexes  and condordances) for which the computer s capacity to sort rapidly without fatigue or error has accelerated production of these traditonal aids to scholarship. a new breed of humanistic scholar now evolving--highly trained in the humanities and at the same time in those aspects of computer science genuinely relevant to his studies--will contribute to the creation of new programming languages specially designed for this work  assist in the training of others who follow  and help to guide computer assisted instruction beyond the mechanistic mode in which it currently operates. ha
1974,raben  joseph.,the humanist in the computer lab,examines the role of the computer in present and future scholarship in the humanities. (rb)
1974,frye  northrup.,the renaissance of books,discusses the role of books in society and how the paperback revolution has changed the conception of books from cultural monument to intellectual tool and comments on the effect of radio and television on society. (hod)
1974,pearson  p david  kamil  michael l.,word recongition latencies as a function of form class  stem length  and affix length,a report of a study that investigated the effects of form class (nouns or verbs)  stem length (three to 10 letters per word) and affix length of inflected verbs 0  -s  -ed  or -ing) on the recognition latency of visually presented stimuli. stem length proved to be a significant source of variation for all words and for the noun stimuli separately  but not for the verb stimuli. subsequent analysis of the verb data revealed that stem length was a significant source of variation only on the first block of trials and that the additional time required for processing affixes is reduced between the first and fourth block of trials. the data fit a letter-by-letter interpretation of the recognition process  modified by a possible morphemic segmentation strategy for affixes. ha
1975,moxley  roy a  jr.,acquisition of writing skills,argues that allowing information processing to proceed in adaptive stages will result in writing skills that are more accurate  complete  and individualized. (rb)
1975,moxley  roy a  jr.,acquisition of writing skills,the acquisition of writing skills is viewed as a reduction of alternatives  the principle of uncertainty reduction has already been applied to reading (see smith  f. understanding reading  a psycholinguistic analysis of reading and learning to read new york  holt  rinehart  & winston  1971.). various features of early writing are examined  including mirror-image reversals & complex letters & numerals. over-determined algorithms & rules that jump to conclusions leave the child either with no help or more than he needs. typically  they result in inaccuracies  atomistic bits & pieces of writing  & generalized approaches that do not take individual differences into account. children should be provided with writing instructions that simplify the selection process at any level. children should also be encouraged to express their alternatives & not merely the final end product. allowing information processing to proceed in adaptive stages will result in writing skills that are more accurate  complete  & individualized. modified ha
1975,robson  ernest m.,an orthographic way of writing english prosody,an orthographic technique for writing english prosody based on distortions of length of letters  differences in darkness & elevation of letters  & on varying extensions of white space between words has been developed. the 3 perceived dimensions of prosody--pitch  duration  & intensity--are numerically matched by the 3 independent graphic dimensions--elevation  darkness  & length. the discrete graphic symbols are at least as independent as the symbols in the continuous oral system. modified ha
1975,robson  ernest m.,an orthographic way of writing english prosody,describes an alphabetic process for cuing readers to speak the three dimensions of sound  fundamental frequency  duration  and intensity. (rb)
1975,nesbitt  alexander.,comment  the designer and language,argues that designers must learn to use language to communicate ideas instead of sell products in consumer oriented western societies. (rb)
1975,nesbitt  alexander.,comment  the designer and language,designers should be trained in lettering  but usually are not. it is very unfortunate that typography & lettering are much ignored in the modern technological world. apparently  threats of extinction arising from modern biology  ecology  & agronomy are also affecting language & typology. the chaos of perverted mass communication leaves 2 alternatives  lies & truths. hopefully  artists & designers will use the latter in reshaping our visual environment. e. hodnett
1975,nesbitt  alexander.,comment  the designer and language,most designers do not understand language  & mass marketing has come to dictate what comes out of design schools. in order to escape the system  designers as well as artists have indulged in typographic  photographic  & communication aberrations  thus neglecting meaning. this has led to thoroughly dehumanized design schools. lettering has been banished from them  typography is in chaos. skeptics of language  pseudoscientists  hack literary men  & advertising men have come to control the mass media. design schools must train young people to understand language again. d. burkenroad
1975,doblin  jay  agrawal  inder  porter  marianna  peterson  robert.,excerpt  simplifying the abc s,information theory is discussed vis a vis the efficiency of the roman alphabet in an age when man-to-man & man-to-machine exchanges are so vital to communication processes. various letter formations  including 3 bit streetlights & the braille writing system  are presented as examples of other kinds of lettering. a new system of letter forms   basic  (derived from 7 stroke electronic numerals)  is suggested. this system s advantages are efficiency  aesthetic appeal  & usefulness in office machinery design. modified ha
1975,dublin  jay  agrawal  inder  porter  marianna  peterson  robert.,excerpt  simplifying the abc s,the roman alphabet is not efficient in an age when man-to-man & especially man-to-machine exchanges are so vital to the communication process. information theory is used to analyze the efficiency of the roman alphabet & to propose a new letter form design--called basic--which is based on the familiar 7-stroke system of electronic numerals. it has no curves or diagonals  & it is less redundant than the ordinary alphabet. basic is also more compact  an important factor in storing & transmitting records & messages electronically. it can be easily produced & it can be displayed by current technological means. with a minimum of learning  it is at least as readable as ordinary letter forms. modified ha
1975,suen  ching y.,handwriting education--a bibliography of contemporary publications,contains a list of current references on handwriting instruction  mainly those published in the past twenty years. (rb)
1975,herrick  earl m.,letters with alternative basic shapes,in many written languages there are letters which may be expressed by more than a single basic shape. the shape is usually selected according to the circumstance in which the letter occurs. thus  some alternative basic shapes are appropriate to certain places in a word or another part of a text  some are used in different dialects  some belong to different coscripts (subdivisions of a script that each have basic shapes for all its letters)  some are used by certain typefaces or styles of handwriting. several kinds of such variations are discussed  & examples from several scripts are given. modified ha
1975,steinberg  danny d  steinberg  miho t.,reading before speaking,describes a reading program which builds on the child s verbal skills. (rb)
1975,steinberg  danny d  steinberg  miho t.,reading before speaking,it is generally believed that children are not ready to read until they are about 5 years old & that speech production is a necessary & desirable basis for a teaching methodology. a 4-phase program consisting of alphabet familiarization  alphabet identification  word  phrase  & sentence identification  & text reading was administered to a s  beginning at 6 months of age. significant reading skills were acquired during the s s prespeech period. by the age of 31 2 the s read short sentences fluently  & by the age of 8 his speed & accuracy equalled 11th graders. a mongoloid child administered the program at a later age now (at 5 years) reads 48 words & 5 phrases & sentences. most current notions on reading readiness & on the role of speech production in teaching methodology require reconsideration. ha
1975,groff  patrick.,research in brief  shapes as cues to word recognition,analysis of similar shapes for high-frequency words does not verify the hypothesis that shape provides a useful learning cue for teaching word recognition. (rb)
1975,groff  patrick.,research in brief  shapes as cues to word recognition,the theory that  shape  provides a useful learning cue for a child s early recognition of a word has been advocated  but it has not been verified by research. an analysis of similar shapes for high-frequency words also argues against using shape as a cue for word recognition. shape is defined in terms of length of word & the descending-ascending nature of letters. a study was made of shapes of high frequency words  these shapes were then compared with shapes occurring in a normal text. the evidence indicates that shapes are not useful as cues to word recognition for beginning readers. the number of words having distinctive shapes is far too small. modified ha
1975,groff  patrick.,research in brief  shapes as cues to word recognition,the theory that shape provides a useful learning cue for a child s early recognition of a word has been maintained by various writers  but has not been verified by research. an analysis of similar shapes for high-frequency words also argues against using shape as a cue for word recognition. further research on a more complex conception of word shape is needed to understand word recognition by beginning readers. modified ha
