date,author,title,text
2009,akwera  gordon.,design impact on new york city parking signs  motorists pay $600 million in parking violations .,in 2005 there were 9.5 million parking tickets issued in new york city (nyc)  accounting for $578.6 million in revenues (nyc dof  2006). this article describes efforts by addison s information design to simplify the city s parking signage. it is based on a presentation given at iiid vision plus 12 in austria and the international conference on applications of information design at mÃ¤lardalen university in sweden. addison s objective was to come up with exploratory alternatives to the extremely confusing parking signs posted throughout new york city. addison s information design team spent several days deciphering parking signs in areas that had the most number of confusing signs. the team explored out of the box concepts to come up with prototype signage systems that are more usable. to validate these concepts  the signs were user tested. the findings confirmed that participants found the existing signs confusing and extremely hard to understand  since the signs did not fit their mental models. the exploratory concepts  on the other hand  elicited positive feedback due to their unambiguous use of language  hierarchy of information  and clear delineation of regulations. the findings were presented to the deputy commissioner of new york city. (author abstract)
2005,albers  michael j.,presenting numbers  tables and charts,book review.  presenting numbers  tables and charts  by sally bigwood and melissa spore. published by new york  oxford university press (2003). 142 pages  illustrated. isbn 0-19860-722-9.
2008,allard  josÃ©.,coping with complexity. reconfiguring the navigation system for santiago s new transportation plan.,this article reviews the navigation system developed for santiago de chile s new public transportation plan transantiago which considers a radical change in the way million of users navigate the city. it introduce some of the particular variables that affected the way the project was conceived  designed and implemented  presenting two of its main components  the transantiago s typeface system and its network map. (author abstract)
2002,allen  patrick  bateman  john  delin  judy.,a model of genre in document layout,we present a framework for describing the genres of illustrated documents  based on analysis at five levels  content structure  rhetorical structure  layout structure  navigation structure  and linguistic structure. we also include three sources of constraints under which a document might be produced and interpreted  canvas constraints  production constraints  and consumption constraints. document genres are conceptualised as complex specifications composed of descriptions at each of the five levels that conform in characteristic ways to the three kinds of constraint. we propose that the eight parameters together form a space of possible identities for documents  electronic or paper. the notion of genre space captures the fact that it is possible for new genres to develop at different positions in the space  as well enabling relationships between document types  or even transformations between them  to be examined and described. (original abstract)
2004,allmendinger  leif  mirel  barbara.,visualizing complexity  getting from here to there in ill-defined problem landscapes,in this paper  we look at experienced problem solvers who are experts in their own domains and who visually model the processes people use when they solve complex problems. our hope is that improved problem models can inform software development teams and lead to better problem solving software. we discuss what to model - the interdependent data ordeals  wayfinding  and sense-making activities that make up patterns of inquiry. we propose a model  which describes how experts explore problem landscapes  putting information and their own conclusions together in different ways in order to satisfy contending goals and agendas. (original abstract)
2005,anderson  michael  meyer  bernd  olivier  patrick.,diagrammatic representation and reasoning,book review abstract. london  springer-verlag  2002  xv+584pp.  price not reported. isbn 1852332425. reviewed by michael j. albers.
2002,andrews  michael.,upside down maps,discusses the design and cognitive aspects of upside down maps  the type of maps that are becoming increasingly popular with those people who find it difficult to read a map where the direction of travel is not one that is represented by the normal orientation of the map. presents the various opinions of design experts regarding the theory and practice of the design and use of this type of map.
2003,andrews  michael.,infodesign-cafÃ© discussion  upside down maps,discusses the development of upside-down maps. the author outlines the uses of maps for planning and study  and onsite navigation  considers the likely success of rotating maps from a user s perspective  and explores three methods of orientating maps  the manual orientation of maps by users  the creation of maps with fixed orientations related to the user s direction of travel  and the automated orientation of maps in relation to the user s movements. he concludes by identifying the potential for applying developments in virtual reality to solving navigation problems.
2001,andrews  michael.,lucid or obscure? a discussion on cameras  designs  and history,discusses the use of camera-type devices by 17th century scientists to create images. the author describes the invention of a camera technology by scientist robert hooke as a means to aid scientific visualization  compares the challenges of historians to those of information designers in uncovering relevant information  and outlines the development of the camera obscura. he describes the operation of the camera lucida  considers whether hooke s device preceded william hyde wollaston s invention of the camera lucida  and discusses their comparitive motivations for using this technology. he concludes by suggesting that hooke may have invented the camera lucida for purposes of visualizing information.
2002,armani  jacopo  rocci  andrea.,conceptual maps in e-learning  how map-based interfaces help the contextualization of information and the structuring of knowledge,the paper presents a design strategy for e-learning hypermedia interfaces based on the notion of conceptual-navigational map. it proposes to analyze the cognitive and communication problems that arise in the use of hypermedia applications with specific goals  such as e-learning courseware modules  with the linguistic tools of pragmatics and discourse analysis  and shows how this can help in identifying specific communication problems related to the grounding and contextualization of new information  and how it can lead to new insights for design and to interfaces inspired by the linguistic means used in verbal communication to manage analogous problems. the implementation of such a design strategy in the swissling courseware modules is discussed  and future directions of development towards context- aware adaptive hypermedia are briefly outlined. (original abstract)
1986,barker  penny  hailstone  max  simmonds  murray.,an experimental study of some effects of figure-ground contrast on the use of street maps,report on an experiment which investigated how figure-ground contrasts affect the legibility of street maps. the maps used were a4 size  and nine different formats were devised  varying combinations of white  grey and black  for city blocks  streets and street names. four tasks were set for the subjects  a two-way analysis of variance used  and the means analysed using tukey s hsd test. the results were that optimum legibility was achieved using black street names on grey ground (street)  with medium contrast between streets and city blocks.
2002,barnum  carol.,the magic number 5  is it enough for web testing?,common practice holds that 80% of usability findings are discovered after five participants. recent findings from web testing indicate that a much larger number of participants is required to get results and that independent teams testing the same web-based product do replicate results. other findings suggest that results improve when testing teams work closely with developers in planning the test. this paper presents an insider view of the cue-2 evaluation that may stimulate further debate regarding the results  plus two cases in which different teams uncovered the same usability issues  working independently but closely with the sponsor. (original abstract)
2011,bartusch  cajsa  porathe  thomas.,climate-smart information design  visualizing residential electricity use over the internet.,in light of global warming  energy conservation is indispensable. residential electricity use  nevertheless  escapes consumers  notice. thus feedback is essential  yet household s access to information is extremely limited. smart metering makes continuous feedback over the internet possible  but users perceive existing web tools to be inaccessible and incomprehensible. hence the aim has been to design a user interface to increase awareness and energy efficiency in households. ease of access and straightforwardness have been established as key factors and conventional bar charts with color coding have proved useful in this respect. (author abstract)
2011,bartusch  cajsa  porathe  thomas.,climate-smart information design  visualizing residential electricity use over the internet,in light of global warming  energy conservation is indispensable. residential electricity use  nevertheless  escapes consumers  notice. thus feedback is essential  yet households  access to information is extremely limited. smart metering makes continuous feedback over the internet possible  but users perceive existing web tools to be inaccessible and incomprehensible. hence the aim has been to design a user interface to increase awareness and energy efficiency in households. ease of access and straightforwardness have been established as key factors and conventional bar charts in combination with color coding have proved useful in this respect. adapted from the source document.
2004,batra  rajeev  scott  linda m.,persuasive imagery  a consumer response perspective,book review abstract. advertising and consumer psychology series. mahwah nj  and london  lawrence erlbaum associates publishers  2003  436pp.  99.95 dollars. isbn 0805842020. reviewed by margot van mulken.
1994,beattie  vivien  jones  michael john.,information design and manipulation  financial graphs in corporate annual reports,presents the results of a study of graphical information contained in 240 annual reports taken at random from the 500 largest companies in britain. the authors discuss the frequency and nature of graphs used  their location and design  and the ways in which some companies used graphs to distort statistics in order to present information more favourably. they note several examples in which backgrounds are used to distract from graphical information and describe variations in use of typography in graph labels  colour and special effects. they conclude that there is a need for guidelines to improve the representational veracity of graphs used in financial reports.
1994,beattie  vivien  jones  michael john.,information design and manipulation  financial graphs in corporate annual reports,the authors examines the results of a study of graphical information contained in 240 annual reports taken at random from the 500 largest companies in the uk. the authors discuss the frequency and nature of graphs used  their location and design  and the ways in which some companies used graphs to distort statistics in order to present information more favourably. they note several examples in which backgrounds are used to distract from graphical information and describe variations in use of typography in graph labels  colour and special effects. they conclude that there is a need for guidelines to improve the representational veracity of graphs used in financial reports.
1994,beattle  v  jones  m j.,information design and manipulation  financial graphs in corporate annual reports,discusses the results of an investigation into the graphic reporting practices used by 240 leading uk companies in their 1989 corporate annual reports. 79 per cent of companies used graphs and 64 per cent of all graphs were bar column graphs. many of these were poorly designed and constructed. there was evidence of biasing in graphic choices with the use of graphic presentation being contingent upon good rather than bad financial performance. companies were 3 time more likely to include graphs in their annual report which exaggerated  rather than understated  favourable time series trends in key performance variables. there was also evidence of the use of certain design and construction techniques intended to create a favourable visual impression. there is a need for more studies of graphic practices in other domains and for guidelines to raise the standards and fidelity of financial graphs. original abstract.
2010,beier  sofie  larson  kevin.,design improvements for frequently misrecognized letters,to enhance typeface legibility we studied how to improve the design of individual letters. three different fonts were created  each containing several variations of the most frequently misrecognized letters. these variations were tested both with distance and short exposure methodologies. creating variations within a typeface avoided confounds that occur when letters from different typefaces are compared against each other. the studies found that some variations were more legible than others despite the letters within a font having similar size  weight  and personality. the results showed that narrow letters benefit from being widened  and that x-height characters benefit from using more of the ascending and descending area. these findings can be used to improve the design of future typefaces. adapted from the source document
2010,beier  sofie  larson  kevin.,design improvements for frequently misrecognized letters .,to enhance typeface legibility we studied how to improve the design of individual letters. three different fonts were created  each containing several variations of the most frequently misrecognized letters. these variations were tested both with distance and short exposure methodologies. creating variations within a typeface avoided confounds that occur when letters from different typefaces are compared against each other. the studies found that some variations were more legible than others despite the letters within a font having similar size  weight  and personality. the results showed that narrow letters benefit from being widened  and that x-height characters benefit from using more of the ascending and descending area. these findings can be used to improve the design of future typefaces. (author abstract)
2002,belt  steve  john  christopher  wright  patricia.,designing an interactive decision explorer,two interactive displays were designed that let people modify lifestyle hazard factors (e.g. diet exercise) and see how this changed their likelihood of serious illness  such as coronary heart disease and stroke  in the next 10 years. pilot testing showed it was better to create strong visual links between changing hazard factors and their effects on risk of illness  than to link hazard selections to their changes. revisions to left-right sequencing on screen were needed when moving from graphic to tabular displays. this reflected the design principle of giving salience to the user s goals through the visual rhetoric of the screen display. (original abstract)
1994,berger  s e.,the design of bibliographies  observations  references and examples,book review abstract. london  mansell  1991. 198pp. 45 pounds. isbn 0-7201-2077-2. reviewed by michael twyman.
1995,berry  d.,speakable australian acts,parliamentary counsel have long been criticised for the style of legislative texts  with readers claiming that acts of parliament are difficult to read and understand. parliamentary counsel in australia have recognized the difficulties faced by users of acts and  during the past 7 or 8 years  have by various means endeavoured to lessen those difficulties. outlines some of the initiatives that have been taken in australia  and in particular in new south wales  to make legislation more comprehensible to readers. original abstract-amended.
2001,bertin  jacques.,matrix theory of graphics,explains the  matrix theory of graphics  which defines the basic plane of a graph as constructed through lines and points representing different entities and their relation to each other. the author demonstrates the theory by applying it to different examples  such as diagrams and maps.
2001,bertin  jacques.,matrix theory of graphics,explains the `matrix theory of graphics  which defines the basic plane of a graph as constructed through lines and points representing different entities and their relation to each other. the author demonstrates the theory by applying it to different examples  such as diagrams and maps.
2008,bezerra de souza  jose marconi  dyson  mary.,are animated demonstrations the clearest and most comfortable way to communicate on-screen instructions?,this study uses preference measurements to compare participants  perceptions of nine versions of on-screen instructions and aims to discover the ones users consider to be the clearest and most comfortable to use instructions are divided into 3 categories  composite  synoptic and animated demonstrations. a group of twenty-four adult participants ranked instructions  first within the same category and then between categories. even though no data was gathered to suggest which type of instruction will lead to better learning  the results show that animations are perceived as being the clearest and most comfortable to use. users are likely to welcome animations  particularly for learning highly dynamic and non-intuitive software drawing tasks (i.e.  using bezier tools). adapted from the source document.
1990,biderman  albert d.,the playfair enigma  the development of the schematic representation of statistics,a reassessment of the work of william playfair  author of  the commercial and political atlas  (1786)  who has been widely  albeit inaccurately  credited with inventing the presentation of statistical data by graphs.
2010,bindle  sanket  joost  gesche.,modeling access to healthcare  design research in remote communities.,design and communication technologies can play a major role in enhancing health services in developing countries as they address issues of human factors  usability  communication and data management. this was the starting hypothesis for a field research  user study and prototyping session on health services for women and children that we conducted together with a local ngo in the rural area of kutch  india. we are proposing a system that helps field workers in maternity health supervision and counseling. it can also be used to build a comprehensive database of health information  accessible to patients  medical workers  and concerned organizations. (author abstract)
1996,black  a  buur  j.,making solid user interfaces work,identifies the characteristics of solid user interfaces to electronic products (e.g. telephones  ticket machines  metering devices) that can help or constrain peoples  interactions with products. highlights techniques for analysis  design and testing required to ensure that solid user interfaces are informative and easy to use. original abstract-amended.
1989,black  alison.,from desktop publishing to computer assisted typography,observation on the impact of desktop publishing on design and production .
2010,bohm  thomas.,getting around the reproduction problems of colored graphs.,this paper highlights the reproduction problems of colored graphs in grayscale black and white contexts. it suggests remedies and improvements to the common design and presentation of graphs. the paper also shows the benefits of using a graphic communication information designer. (author abstract)
2004,boswood  timothy  carliner  saul.,genre  a useful construct for researching online communication for the workplace,this paper presents a case for a genre-based approach to research into online communication. questions about the appropriateness and extensiveness of research-based guidelines for communicating online exist. these questions include the appropriateness of transferring guidelines from research on print communication online without first re-verifying them  the appropriateness of generalizing conclusions from context-based  small sample-sized usability studies  the extent of generalizability of empirical studies  and the limited scope of guidelines that focus almost exclusively on physical features of text. genre - a familiar pattern  a way of organizing information that has become so common that readers will probably recognize each new instance as belonging to the genre (price & price  2002  272) - provides an alternative  contextually-based approach. it is a useful context because most online communication occurs within the confines of a specific genre and  as genres become more common  users develop expectations about the type of content presented and the format of its presentation. three methods can help researchers understand the nature of online genres  (1) discourse analysis helps researchers identify the features of a genre  (2) usability studies help researchers assess whether the features promote effective user performance (and  if so  how)  and (3) design team research identifies why features were included and which other alternatives were considered  rejected  and why. an effective study of genre uses all three. focusing on genre  too  allows researchers within sub-disciplines of communication to focus their work on their areas of specialty. (original abstract)
2000,bouayad-agha  n  scott  d  power  r.,integrating content and style in documents  a case study of patient information leaflets,envisages a novel computer tool for producing technical documentation  in which the author specifies the content and style  but the exact wording and layout is determined by the system. a prototype is being developed in the iconoclast project. the system must adapt the working or the generated document to its punctuation and layout. by studying a corpus of patient information leaflets  finds many detailed examples of this interaction. focuses on ways in which the use of special layout patterns changes the options for wording  sometimes licensing departures from normal conventions of grammar and punctuation. (original abstract - amended)
2000,bouayad-agha  nadjet  scott  donia  power  richard.,integrating content and style in documents  a case study of patient information leaflets,discusses the possibilities of creating a computer tool for generating designs of texts with reference to the case study of patient information leaflets. the author explains that a programme which would allow the user to determine style and content of a text separately would need to be based on a logical language such as mathematics  and outlines problems which might occur with computer generated text layouts.
2006,braten  ivar  stromso  helge i.,constructing meaning from multiple information sources as a function of personal epistemology  the role of text-processing strategies,an article about a study examining differences in text-processing strategies between students with naive epistemological beliefs  and students with sophisticated epistemological beliefs  when reading to understand different texts about the same topic. the authors outline their method and the results of the study  which show that students with sophisticated epistemological beliefs perform better than students with naive beliefs on text comprehension at the level of the text base as well as in regard to the situation model. the study suggested that the difference was the result of deeper and more active text-processing strategies by the students with sophisticated beliefs. no difference was found in terms of memorisation. the authors discuss the results and their implications for practice  they comment on the limitations of the study and they make suggestions for further research.
2006,braten  ivar  stxomso  helge i.,constructing meaning from multiple information sources as a function of personal epistemology  the role of text-processing strategies.,ten student teachers having naive epistemological beliefs and nine having sophisticated beliefs read seven texts about attention deficit hyperactivity disorder  representing partly conflicting views on the topic. the results indicated that students with sophisticated beliefs were better at melding information from multiple perspectives. moreover  they suggested that the students attained this advantage by engaging in more active use of deeper level text-processing strategies. in terms of practical implications  this research suggests that students working with multiple texts should be given the opportunity to reflect on their epistemological stances and also be taught how they can strategically construct meaning in this complex task environment. (author abstract)
2001,brigham  f.,graphical symbols for consumer products in an international context,contribution to part of an issue on the theme of pictograms. discusses some of the practical issues involved in the design and application of graphical symbols  taking into account activities in the field of international standardization and industrial practice. gives special emphasis to the importance of understanding the role of graphical symbols in the communication process. stresses the need to view the comprehension of graphical symbols as a usability issue. any meaningful statement about the comprehensibility of a graphical symbol must take users  tasks and context of use into account. concludes with a summary of guiding principles for designers based on the issues discussed. (original abstract - amended)
2001,brigham  fred.,graphical symbols for consumer products in an international context,discusses design issues surrounding graphic symbols on consumer and professional products. the author notes the importance of graphical symbols on electronics products  considers the difference between a graphical symbol and an icon  and outlines the tensions between professionally-orientated graphic symbols and those for a consumer market. he suggests that texts are more understandable than graphic symbols for many users  details the two main internationally standard methods for testing graphic symbols  and suggests that designers of graphic symbols should consider practical issues in their methodology.
2008,bright  keith  egger  veronika.,using visual contrast for effective  inclusive  environments.,colour and lighting play important and unique roles in the way people enjoy environment or spaces. there is a constant interaction between people and the colours that surround them which not only affects the way they move around within the space but also determines how safe  secure and confident they feel when doing so. in addition  colour can help people determine which route to take  and what potential hazards or obstacles they may encounter. lighting plays an important role in how different colours and combinations of colours are seen and experienced. whilst this is true for all users  for people with sensory impairments  being able to navigate and to identify features is critical to their ability to use an environment or space without undue effort  in safely  with confidence and  wherever possible  independently. for partially sighted people  maximising the effectiveness of their residual vision through the use of environmental factors such as visual contrast and lighting can also have a major impact on their sense of well-being and on their ability to make decisions about how to use the environments they encounter. in considering the light reflected from a colour - known as its light reflectance value (lrv) - it is possible to specify levels of visual contrast that are appropriate to meet the needs of many partially sighted people. linking this to an understanding of the search and navigation strategies they adopt when using buildings and spaces means it is also possible to create interesting and innovative designs and decoration schemes that assist partially sighted people without creating environments that are unacceptable to other users. (author abstract)
2011,britt  m anne  rouet  jean-francois.,research challenges in the use of multiple documents,research on text comprehension has looked at a wide range of texts and reading contexts  but has largely focused on how students comprehend simple narrative or expository passages under general task directions such as general comprehension. over the past decade  however  more and more researchers have recognized the importance of extending the construct of text comprehension to include broader contexts of activities. this article argues that the consideration of functional reading goals and reading across texts presents some new and important challenges for research. it explains how a broadened research perspective will make text comprehension research more relevant and drive innovations in the domain of text design as well as the teaching of text-related skills. after discussing research challenges in the use of multiple documents  the article describes the multiple-document task-based relevance assessment and content extraction (md-trace) model which identifies dimensions of both external and internal resources that may affect the way information is processed by readers. adapted from the source document.
1990,brugger  christof.,advances in the international standardization of public information symbols,christof brugger of the international standards organisation reports on recent developments in the standardization of public information symbols (pictograms).
2009,burke  christopher.,isotype  representing social facts pictorially.,in developing isotype (international system of typographic picture education)   otto neurath and his colleagues were the first to systematically explore a consistent visual language as part of an encyclopedic approach to representing all aspects of the physical world. the pictograms used in isotype have a secure legacy in today s public information symbols  but isotype was more than this  it was designed to communicate social facts memorably to less educated groups  including schoolchildren and workers  reflecting its initial testing ground in the socialist municipality of vienna during the 1920s. the social engagement and methodology of isotype are examined here in order to draw some lessons for information design today. (author abstract)
1996,burnhill  p.,outside the whale,in the 60s design education in the uk was in a state of flux. it was changing from a more or less egalitarian system  first established in the 1830s  to one which sought to separate the sheep from the goats on academic lines at a time when a more comprehensive system was being developed in schools of general education. describes a design course in the `vocational  sector of the new system which made typography its central design discipline. original abstract-amended.
1996,burnhill  peter.,outside the whale,a discussion of the design course at stafford college of art and design in stafford  england  which has run for 20 years and has had typography as its central discipline. the author also traces the history of typography since 1945 and discusses different examples.
1996,burnhill  peter.,outside the whale,introduces the design course held at the stafford college of art and design in stafford  england  for over 20 years and which had typography as its central discipline. the author traces the history of typography since 1945 and discusses different examples.
2004,carliner  saul  boswood  timothy.,genre  a useful construct for researching online communication for the workplace,looks at the genre information contained in internet research and considers the value of designing specifically for genre-types online. contains glossary of genre types available.
2008,carliner  saul  redish  janice.,an interview with janice (ginny) redish,janice (ginny) redish is well known within the fields of information and document design  technical communication  and usability for her groundbreaking research in the 1970s and 1980s (when i first learned of her work) on how people design and use functional documents like tax forms  government letters  and manuals. in addition to her ability to conceive of  and conduct  such research  what distinguishes ginny in her ability to present it in practical terms that information designers can apply in their everyday work. ginny has also made contributions on many other levels. one is as a member of the professional community. many with ginny s stature would simply write and speak  and not take an active role in the running of communities. but that s not ginny. she has managed prominent committees for organizations like the society for technical communication and the usability professionals  association. although she plays a leadership role in these organizations  she does not need to be president. instead  she can be found managing major projects and the complex  behind-the-scenes efforts that define the future of these organizations  like her role in overseeing the redesign of stc s virtual and geographic communities. but what i find most inspiring about ginny is her ability to adjust her focus with time - always staying true to her core interest in making content usable  but redefining her activities as technology and business progress. she has fluidly moved from a focus on print documentation to usability of the web. as a result of this ability to transform her work  ginny has made significant and unique contributions. (author abstract)
2007,carliner  saul.,interview with an information designer  eric kavanagh,eric kavanagh  a professor of information design at the ecole des arts visuels at laval university in quebec city  canada  represents a new generation of information design researchers. although young  he begins his academic career with a decade of practical experience behind him  and  therefore knows documents as more than artifacts of study  he has a first-hand knowledge of their production and use. this understanding of the importance of documents in everyday contexts  and in unique cultural contexts  drives eric s passion for information design as well as his research agenda. in this interview  eric describes his background  his current work  his thoughts about the current state of the field and his hopes for the future. (author abstract)
2009,carliner  saul.,an interview with clay spinuzzi.,interview with clay spinuzzi  a specialist in workplace studies of writing and technology use  and currently associate professor of rhetoric and writing at the university of texas at austin. spinuzzi answers questions on the following subjects  how he first became involved in technical communication in general and organization communication in particular  the lessons he learned about technical communication in his own education  the patterns of communications in organizations as divulged in his two studies  tracing genres through organizations  (2003) and his latest book  network  (2008)  his current and future planned projects  and what he holds to be the prevailing myths about technical communication and information design. (author abstract)
2007,carliner  saul.,an interview with bogo vatovec,known to many simply as bogo  berlin-based consultant bogo vatovec is manager of the society for technical communication s special interest group on information design and architecture - and with  nearly 3 000 members  its largest such group. more than as a leader  bogo is known on both sides of the atlantic as a software engineer turned passionate information architecture and usability professional. in this interview  bogo describes what he has learned from his past work and his hopes for the future of the field. (author abstract)
2008,carliner  saul.,an interview with louis rosenfeld,louis rosenfeld is one of the world s leading and best-known information architects. if he initially earned his reputation from his best-selling book  information architecture for the world wide web  and his first company  argus associates  he has maintained it through his newest venture  rosenfeld media (which publishes books on the topic of user experience design)  through his ongoing consulting  and his service to establishing the field of information architecture by helping to found the information architecture institute and the user experience network (uxnet). in this interview  he shares his thoughts about the growth and practice of information architecture  the limitations of current publishing models and some of the challenges in assigning terminology in this field. adapted from the source document.
