Publication Number,Priority Date,Inventor - w/address,Assignee - Original w/address
WO1998045464A1,1997-04-09 | 1998-04-06,"PEKNA Marcela,SE","A+ SCIENCE INVEST AB,SE"
WO1998045465A1,1997-04-09 | 1998-04-06,"PEKNA Marcela,SE","A+ SCIENCE INVEST AB,SE"
WO2006114098A2,2005-04-26 | 2005-04-27 | 2005-07-01 | 2005-07-19 | 2006-04-25,"BESENBACHER Flemming,DK | DUCH Mogens Ryttergard,DK | FOSS Morten,DK | PEDERSEN Finn Skou,DK | JUSTESEN Jeannette Hoffmann Frisch,DK | ANDERSEN Lars Klembt,DK | CROVATO Trine Elkjaer Larsen,DK | MARKERT Lotte,DK","AARHUS UNIVERSITET,DK"
WO2009150051A3,2008-05-27 | 2009-05-27,"DUCH Mogens Rytterg�rd,DK | MARKERT Lotte,DK | LOVMAND Jette,DK | F�CHTBAUER Annette Christine,DK | F�RCHTBAUER Ernst Martin,DK | FOSS Morten,DK | BESENBACHER Flemming,DK | PEDERSEN Finn Skou,DK","AARHUS UNIVERSITET,DK | DUCH Mogens Rytterg�rd,DK | MARKERT Lotte,DK | LOVMAND Jette,DK | F�CHTBAUER Annette Christine,DK | F�RCHTBAUER Ernst Martin,DK | FOSS Morten,DK | BESENBACHER Flemming,DK | PEDERSEN Finn Skou,DK"
WO2009150051A9,2008-05-27 | 2009-05-27,"DUCH Mogens Rytterg�rd,DK | MARKERT Lotte,DK | LOVMAND Jette,DK | F�CHTBAUER Annette Christine,DK | F�RCHTBAUER Ernst Martin,DK | FOSS Morten,DK | BESENBACHER Flemming,DK | PEDERSEN Finn Skou,DK","AARHUS UNIVERSITET,DK | DUCH Mogens Rytterg�rd,DK | MARKERT Lotte,DK | LOVMAND Jette,DK | F�CHTBAUER Annette Christine,DK | F�RCHTBAUER Ernst Martin,DK | FOSS Morten,DK | BESENBACHER Flemming,DK | PEDERSEN Finn Skou,DK"
WO2009150051A2,2008-05-27 | 2009-05-27,"DUCH Mogens Rytterg�rd,DK | MARKERT Lotte,DK | LOVMAND Jette,DK | F�CHTBAUER Annette Christine,DK | F�RCHTBAUER Ernst Martin,DK | FOSS Morten,DK | BESENBACHER Flemming,DK | PEDERSEN Finn Skou,DK","AARHUS UNIVERSITET,DK | DUCH Mogens Rytterg�rd,DK | MARKERT Lotte,DK | LOVMAND Jette,DK | F�CHTBAUER Annette Christine,DK | F�RCHTBAUER Ernst Martin,DK | FOSS Morten,DK | BESENBACHER Flemming,DK | PEDERSEN Finn Skou,DK"
WO2010022740A3,2008-08-28 | 2009-03-23 | 2009-08-28,"DUCH Mogens Ryttergaard,DK | PEDERSEN Finn Skou,DK | BAHRAMi Shervin,DK | FREDSTED Palle Villesen,DK | WIUF Carsten,DK | �STERGAARD Lars J�rgen,DK | TOLSTRUP Martin,DK","AARHUS UNIVERSITET,DK | REGION MIDTJYLLAND,DK | DUCH Mogens Ryttergaard,DK | PEDERSEN Finn Skou,DK | BAHRAMi Shervin,DK | FREDSTED Palle Villesen,DK | WIUF Carsten,DK | �STERGAARD Lars J�rgen,DK | TOLSTRUP Martin,DK"
WO2010022740A2,2008-08-28 | 2009-03-23 | 2009-08-28,"DUCH Mogens Ryttergaard,DK | PEDERSEN Finn Skou,DK | BAHRAMi Shervin,DK | FREDSTED Palle Villesen,DK | WIUF Carsten,DK | �STERGAARD Lars J�rgen,DK | TOLSTRUP Martin,DK","AARHUS UNIVERSITET,DK | REGION MIDTJYLLAND,DK | DUCH Mogens Ryttergaard,DK | PEDERSEN Finn Skou,DK | BAHRAMi Shervin,DK | FREDSTED Palle Villesen,DK | WIUF Carsten,DK | �STERGAARD Lars J�rgen,DK | TOLSTRUP Martin,DK"
WO2010025736A3,2008-09-05 | 2009-09-03,"BOLUND Lars Axel,DK | KRISTIANSEN Karsten,DK | MIKKELSEN Jacob Giehm,DK | STAUNSTRUP Nicklas Heine,DK","AARHUS UNIVERSITET,DK | SYDDANSK UNIVERSITET,DK | BOLUND Lars Axel,DK | KRISTIANSEN Karsten,DK | MIKKELSEN Jacob Giehm,DK | STAUNSTRUP Nicklas Heine,DK"
WO2010025736A2,2008-09-05 | 2009-09-03,"BOLUND Lars Axel,DK | KRISTIANSEN Karsten,DK | MIKKELSEN Jacob Giehm,DK | STAUNSTRUP Nicklas Heine,DK","AARHUS UNIVERSITET,DK | SYDDANSK UNIVERSITET,DK | BOLUND Lars Axel,DK | KRISTIANSEN Karsten,DK | MIKKELSEN Jacob Giehm,DK | STAUNSTRUP Nicklas Heine,DK"
WO1996040858A1,1995-06-07 | 1996-06-07,ARMSTRONG R. Douglas | MALUTA James | ROECKER David W.,AASTROM BIOSCIENCES INC.
WO2007117765A2,2006-03-31 | 2007-02-15,"NOLL Lee,US | HAMPSON Brian,US | GOLTRY Kristin,US | SNABES Samantha,US","AASTROM BIOSCIENCES INC.,US | NOLL Lee,US | HAMPSON Brian,US | GOLTRY Kristin,US | SNABES Samantha,US"
WO2007117765A3,2006-03-31 | 2007-02-15,"NOLL Lee,US | HAMPSON Brian,US | GOLTRY Kristin,US | SNABES Samantha,US","AASTROM BIOSCIENCES INC.,US | NOLL Lee,US | HAMPSON Brian,US | GOLTRY Kristin,US | SNABES Samantha,US"
WO2003003006A2,2001-06-29 | 2002-06-28,"MOUSSY Alain,FR | DUBREUIL Patrice,FR | HERMINE Olivier,FR","AB SCIENCE,FR | INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE INSERM EPST,FR | UNIVERSITE RENE DESCARTES - PARIS 5,FR | CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,FR | ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS,FR | MOUSSY Alain,FR | DUBREUIL Patrice,FR | HERMINE Olivier,FR"
WO2004098612A2,2003-05-07 | 2003-06-23 | 2004-05-07,"MOUSSY Alain,FR | KINET Jean-Pierre,US","AB SCIENCE,FR | MOUSSY Alain,FR | KINET Jean-Pierre,US"
WO2003035050A2,2001-09-20 | 2002-09-20,"MOUSSY Alain,FR | KINET Jean-Pierre,US","AB SCIENCE,FR | MOUSSY Alain,FR | KINET Jean-Pierre,US"
WO2003004006A2,2001-06-29 | 2002-06-28,"MOUSSY Alain,FR | KINET Jean-Pierre,US","AB SCIENCE,FR | MOUSSY Alain,FR | KINET Jean-Pierre,US"
WO2003002106A2,2001-06-29 | 2002-06-28,"MOUSSY Alain,FR | KINET Jean-Pierre,US","AB SCIENCE,FR | MOUSSY Alain,FR | KINET Jean-Pierre,US"
WO2003002109A2,2001-06-29 | 2001-12-20 | 2002-06-28,"MOUSSY Alain,FR | KINET Jean-Pierre,US","AB SCIENCE,FR | MOUSSY Alain,FR | KINET Jean-Pierre,US"
WO2003002105A2,2001-06-29 | 2002-06-28,"MOUSSY Alain,FR | KINET Jean-Pierre,US","AB SCIENCE,FR | MOUSSY Alain,FR | KINET Jean-Pierre,US"
WO2003002114A2,2001-06-29 | 2002-06-28,"MOUSSY Alain,FR | KINET Jean-Pierre,US","AB SCIENCE,FR | MOUSSY Alain,FR | KINET Jean-Pierre,US"
WO2003004007A2,2001-06-29 | 2002-06-28,"MOUSSY Alain,FR | KINET Jean-Pierre,US","AB SCIENCE,FR | MOUSSY Alain,FR | KINET Jean-Pierre,US"
WO2003002108A2,2001-06-29 | 2002-06-28,"MOUSSY Alain,FR | KINET Jean-Pierre,US","AB SCIENCE,FR | MOUSSY Alain,FR | KINET Jean-Pierre,US"
WO2009038868A1,2007-09-19 | 2008-07-21,"BASU Shubhayu,US | MICHAL Gene,US | LUDWIG Florian N.,US | WAN Jinping,US | STANKUS John,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | BASU Shubhayu,US | MICHAL Gene,US | LUDWIG Florian N.,US | WAN Jinping,US | STANKUS John,US"
WO2009061483A1,2007-11-07 | 2008-11-06,"CALLAS Peter L.,US | WILLIS Eric J.,US | EL-NOUNOU Fozan O.,US | LUDWIG Florian N.,US | WEBLER William E.,US | CONSIGNY Paul M.,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | CALLAS Peter L.,US | WILLIS Eric J.,US | EL-NOUNOU Fozan O.,US | LUDWIG Florian N.,US | WEBLER William E.,US | CONSIGNY Paul M.,US"
WO2010028087A2,2008-09-02 | 2009-09-02,"HENG Boon Chin Alexis,US | BASU Shubhayu,US | COWAN Catherine M.,US | DAVALIAN Dariush,US | STANKUS John,US | DUONG Duc H.,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | HENG Boon Chin Alexis,US | BASU Shubhayu,US | COWAN Catherine M.,US | DAVALIAN Dariush,US | STANKUS John,US | DUONG Duc H.,US"
WO2010028087A3,2008-09-02 | 2009-09-02,"HENG Boon Chin Alexis,US | BASU Shubhayu,US | COWAN Catherine M.,US | DAVALIAN Dariush,US | STANKUS John,US | DUONG Duc H.,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | HENG Boon Chin Alexis,US | BASU Shubhayu,US | COWAN Catherine M.,US | DAVALIAN Dariush,US | STANKUS John,US | DUONG Duc H.,US"
WO2007146228A2,2006-06-09 | 2007-06-08,"HOSSAINY Syed F. A.,US | TROLLSAS Mikael,US | GLAUSER Thierry,US | TANG Yiwen,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | HOSSAINY Syed F. A.,US | TROLLSAS Mikael,US | GLAUSER Thierry,US | TANG Yiwen,US"
WO2007146228A3,2006-06-09 | 2007-06-08,"HOSSAINY Syed F. A.,US | TROLLSAS Mikael,US | GLAUSER Thierry,US | TANG Yiwen,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | HOSSAINY Syed F. A.,US | TROLLSAS Mikael,US | GLAUSER Thierry,US | TANG Yiwen,US"
WO2008069919A3,2006-12-04 | 2007-11-16,"HOSSAINY Syed,US | NGO Michael,US | TROLLSAS Mikael,US | STANKUS John,US | MICHAL Gene,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | HOSSAINY Syed,US | NGO Michael,US | TROLLSAS Mikael,US | STANKUS John,US | MICHAL Gene,US"
WO2008069919A2,2006-12-04 | 2007-11-16,"HOSSAINY Syed,US | NGO Michael,US | TROLLSAS Mikael,US | STANKUS John,US | MICHAL Gene,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | HOSSAINY Syed,US | NGO Michael,US | TROLLSAS Mikael,US | STANKUS John,US | MICHAL Gene,US"
WO2008088456A3,2006-12-20 | 2007-11-20,"KLEINER Lothar W.,US | HOSSAINY Syed,US | ASTAFIEVA Irina,US | PACETTI Stephen,US | GLAUSER Thierry,US | DESNOYER Jessica,US | LUDWIG Florian N.,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | KLEINER Lothar W.,US | HOSSAINY Syed,US | ASTAFIEVA Irina,US | PACETTI Stephen,US | GLAUSER Thierry,US | DESNOYER Jessica,US | LUDWIG Florian N.,US"
WO2008088456A2,2006-12-20 | 2007-11-20,"KLEINER Lothar W.,US | HOSSAINY Syed,US | ASTAFIEVA Irina,US | PACETTI Stephen,US | GLAUSER Thierry,US | DESNOYER Jessica,US | LUDWIG Florian N.,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | KLEINER Lothar W.,US | HOSSAINY Syed,US | ASTAFIEVA Irina,US | PACETTI Stephen,US | GLAUSER Thierry,US | DESNOYER Jessica,US | LUDWIG Florian N.,US"
WO2009058666A1,2007-10-31 | 2008-10-23,"LIM Florencia,US | NGO Michael Huy,US | TANG Yiwen,US | HOSSAINY Syed F. A.,US | TROLLSAS Mikael O.,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | LIM Florencia,US | NGO Michael Huy,US | TANG Yiwen,US | HOSSAINY Syed F. A.,US | TROLLSAS Mikael O.,US"
WO2008089452A2,2007-01-18 | 2008-01-17 | 2008-01-18,"MICHAL Eugene T.,US | BASU Shubhayu,US | SHEEHY Alexander J.,US | SPINALE Francis G.,US | MUKHERJEE Rupak,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | MICHAL Eugene T.,US | BASU Shubhayu,US | SHEEHY Alexander J.,US | SPINALE Francis G.,US | MUKHERJEE Rupak,US"
WO2008089452A3,2007-01-18 | 2008-01-17 | 2008-01-18,"MICHAL Eugene T.,US | BASU Shubhayu,US | SHEEHY Alexander J.,US | SPINALE Francis G.,US | MUKHERJEE Rupak,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | MICHAL Eugene T.,US | BASU Shubhayu,US | SHEEHY Alexander J.,US | SPINALE Francis G.,US | MUKHERJEE Rupak,US"
WO2008016490A3,2006-07-31 | 2007-07-19,"MICHAL Eugene,US | TROLLSAS Olof Mikael,US | BASU Shubhayu,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | MICHAL Eugene,US | TROLLSAS Olof Mikael,US | BASU Shubhayu,US"
WO2008016490A2,2006-07-31 | 2007-07-19,"MICHAL Eugene,US | TROLLSAS Olof Mikael,US | BASU Shubhayu,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | MICHAL Eugene,US | TROLLSAS Olof Mikael,US | BASU Shubhayu,US"
WO2008063418A3,2006-11-17 | 2007-11-06,"MICHAL Gene,US | BASU Shubhayu,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | MICHAL Gene,US | BASU Shubhayu,US"
WO2008063418A2,2006-11-17 | 2007-11-06,"MICHAL Gene,US | BASU Shubhayu,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | MICHAL Gene,US | BASU Shubhayu,US"
WO2009005909A2,2007-06-29 | 2008-05-22,"PACETTI Stephen D.,US | TROLLSAS Mikael O.,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | PACETTI Stephen D.,US | TROLLSAS Mikael O.,US"
WO2009005909A3,2007-06-29 | 2008-05-22,"PACETTI Stephen D.,US | TROLLSAS Mikael O.,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | PACETTI Stephen D.,US | TROLLSAS Mikael O.,US"
WO2009017549A1,2007-08-01 | 2008-06-19,"STANKUS John J.,US | BASU Shubhayu,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | STANKUS John J.,US | BASU Shubhayu,US"
WO2009020797A2,2007-08-03 | 2008-07-29,"STANKUS John,US | TROLLSAS Mikael O.,US | NGO Michael H.,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | STANKUS John,US | TROLLSAS Mikael O.,US | NGO Michael H.,US"
WO2009020797A3,2007-08-03 | 2008-07-29,"STANKUS John,US | TROLLSAS Mikael O.,US | NGO Michael H.,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | STANKUS John,US | TROLLSAS Mikael O.,US | NGO Michael H.,US"
WO2008076731A3,2006-12-13 | 2007-12-12,"TROLLSAS Mikael O.,US | NGO Michael Huy,US | MASLANKA Bozena Zofia,US | HOSSAINY Syed Faiyaz Ahmed,US | KLEINER Lothar W.,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | TROLLSAS Mikael O.,US | NGO Michael Huy,US | MASLANKA Bozena Zofia,US | HOSSAINY Syed Faiyaz Ahmed,US | KLEINER Lothar W.,US"
WO2008076731A2,2006-12-13 | 2007-12-12,"TROLLSAS Mikael O.,US | NGO Michael Huy,US | MASLANKA Bozena Zofia,US | HOSSAINY Syed Faiyaz Ahmed,US | KLEINER Lothar W.,US","ABBOTT CARDIOVASCULAR SYSTEMS INC.,US | TROLLSAS Mikael O.,US | NGO Michael Huy,US | MASLANKA Bozena Zofia,US | HOSSAINY Syed Faiyaz Ahmed,US | KLEINER Lothar W.,US"
WO2002076196A1,2001-03-22 | 2002-03-22,"GHAYUR Tariq,US","ABBOTT GMBH & CO. KG,DE"
WO2006138690A2,2005-06-17 | 2006-06-19,"HUNT Margaret M.,US | HOOPER David,US | MEUNIER Alain,FR | JARA ALAMONTE James,US","ABBOTT LABORATORIES,US"
WO2004022724A2,2002-09-09 | 2003-09-04 | 2003-09-08,"LATIF Zuhair A.,US | NOWLAN Sean F.,US","ABBOTT LABORATORIES,US"
WO2008064116A3,2006-11-16 | 2007-11-16,"BARDWELL Philip,US | GHAYUR Tariq,US | GU Jijie,US","ABBOTT LABORATORIES,US | BARDWELL Philip,US | GHAYUR Tariq,US | GU Jijie,US"
WO2008064116A2,2006-11-16 | 2007-11-16,"BARDWELL Philip,US | GHAYUR Tariq,US | GU Jijie,US","ABBOTT LABORATORIES,US | BARDWELL Philip,US | GHAYUR Tariq,US | GU Jijie,US"
WO2008021124A2,2006-08-15 | 2007-08-07,"BURKE Sandra E.,US | CROMACK Keith R.,US | MACK Matthew,US | TONER John L.,US","ABBOTT LABORATORIES,US | BURKE Sandra E.,US | CROMACK Keith R.,US | MACK Matthew,US | TONER John L.,US"
WO2006128681A1,2005-05-31 | 2006-05-31,"HATZFELD Jacques,FR | LAABI Yacine,FR | HERPE Yves Edouard,FR | BARBET Romain,FR","ABCYS S.A.,FR"
WO2010097800A1,2009-02-26 | 2010-02-28,"ABDULRAZIK Muhammad,IL","ABDULRAZIK Muhammad,IL"
WO2009047766A2,2007-10-11 | 2008-10-12,"ABDULRAZIK Muhammad,IL","ABDULRAZIK Muhammad,IL"
WO2009047766A3,2007-10-11 | 2008-10-12,"ABDULRAZIK Muhammad,IL","ABDULRAZIK Muhammad,IL"
WO2002066618A1,2001-02-20 | 2002-02-20,"LATERZA Vince,US","ABEOME CORPORATION,US"
WO2000076310A1,1999-06-10 | 2000-06-08,"GREEN Larry L.,US | IVANOV Vladimir E.,US | DAVIS C. Geoffrey,US","ABGENIX INC.,US"
WO2003047336A2,2001-11-30 | 2002-11-27,"GREEN Larry L.,US | IVANOV Vladimir,US","ABGENIX INC.,US | GREEN Larry L.,US | IVANOV Vladimir,US"
WO2000027198A1,1998-11-09 | 1999-11-05,"ABRAHAM Nader G.,US | AHMED Tauseef,US","ABRAHAM Nader G.,US | AHMED Tauseef,US"
WO2008109163A1,2007-03-07 | 2007-04-13 | 2008-03-07,"DESAI Neil P.,US | SOON-SHIONG Patrick,US | TRIEU Vuong,US","ABRAXIS BIOSCIENCE LLC.,US | DESAI Neil P.,US | SOON-SHIONG Patrick,US | TRIEU Vuong,US"
WO1995017500A1,1993-12-23 | 1994-12-23,STICE Steven L. | STRELCHENKO Nick | BETTHAUSER Jeff | SCOTT Brett | JURGELLA Gail,ABS GLOBAL INC.
WO1995016770A1,1993-12-17 | 1994-12-16,STRELCHENKO Nick | STICE Steven L.,ABS GLOBAL INC.
WO1996034982A1,1995-05-04,KRIEGESMANN Bernd | JANSEN Stephan,ABS GLOBAL INC. | KRIEGESMANN & JANSEN CONSULTING GBR | KRIEGESMANN Bernd | JANSEN Stephan
WO2005085424A3,2004-03-09 | 2005-03-09,"SUMITRAN HOLGERSSON Suchitra,SE","ABSORBER AB,SE"
WO2005085424A2,2004-03-09 | 2005-03-09,"SUMITRAN-HOLGERSSON Suchitra,SE","ABSORBER AB,SE"
WO2010028249A1,2008-09-04 | 2009-09-04,"BUSCH Sarah A.,US | HORN Kevin P.,US | MAYS Robert W.,US | SILVER Jerry,US","ABT HOLDING COMPANY,US | CASE WESTERN RESERVE UNIVERSITY,US | BUSCH Sarah A.,US | HORN Kevin P.,US | MAYS Robert W.,US | SILVER Jerry,US"
WO2007047581A2,2005-10-17 | 2006-08-31 | 2006-10-16,"YU John Cheng Po,US | YU Alice Lin Tsing,US | LING Thai Yen,TW","ACADEMIA SINICA,TW"
WO2008036421A2,2006-09-21 | 2007-09-21,"TZU-BI SHIN Daniel,US | CHEN Wan-Yu,US | WONG Chi-Huey,US","ACADEMIA SINICA,TW | TZU-BI SHIN Daniel,US | CHEN Wan-Yu,US | WONG Chi-Huey,US"
WO2008036421A3,2006-09-21 | 2007-09-21,"TZU-BI SHIN Daniel,US | CHEN Wan-Yu,US | WONG Chi-Huey,US","ACADEMIA SINICA,TW | TZU-BI SHIN Daniel,US | CHEN Wan-Yu,US | WONG Chi-Huey,US"
WO2010005598A1,2008-06-16 | 2009-06-16 | 2009-08-06,"WONG Chi-Huey,US | WU Chung-Yi,TW | YU Alice,US | YU John,US","ACADEMIA SINICA,TW | WONG Chi-Huey,US | WU Chung-Yi,TW | YU Alice,US | YU John,US"
WO2007047581A3,2005-10-17 | 2006-08-31 | 2006-10-16,"YU John Cheng-Po,US | YU Alice Lin-Tsing,US | LING Thai-Yen,TW","ACADEMIA SINICA,TW | YU John Cheng-Po,US | YU Alice Lin-Tsing,US | LING Thai-Yen,TW"
WO2010014218A3,2008-07-29 | 2009-07-29,"YU John,US | YU Alice,US | KUO Ming-Wei,TW | CHANG Jui-Chin,TW","ACADEMIA SINICA,TW | YU John,US | YU Alice,US | KUO Ming-Wei,TW | CHANG Jui-Chin,TW"
WO2010014218A2,2008-07-29 | 2009-07-29,"YU John,US | YU Alice,US | KUO Ming-Wei,TW | CHANG Jui-Chin,TW","ACADEMIA SINICA,TW | YU John,US | YU Alice,US | KUO Ming-Wei,TW | CHANG Jui-Chin,TW"
WO2006016808A3,2004-08-10 | 2005-08-10,"SPITS Hergen,NL | BERKHOUT Benjamin,NL | SEPPEN Jurgen Ewoud,NL | MARKUSIC David Michael,NL | WEIJER Kees,NL","ACADEMISCH MEDISCH CENTRUM BIJ DE UNIVERSITEIT VAN AMSTERDAM,NL"
WO2006016808A2,2004-08-10 | 2005-08-10,"SPITS Hergen,NL | BERKHOUT Benjamin,NL | SEPPEN Jurgen Ewoud,NL | MARKUSIC David Michael,NL | WEIJER Kees,NL","ACADEMISCH MEDISCH CENTRUM BIJ DE UNIVERSITEIT VAN AMSTERDAM,NL"
WO2006132524A1,2005-06-06 | 2006-06-06,"SPITS Hergen,US","ACADEMISCH MEDISCH CENTRUM BIJ DE UNIVERSITEIT VAN AMSTERDAM,NL"
WO2009120082A3,2008-03-27 | 2008-11-12 | 2009-03-27,"BOINK Gerard J.J.,NL | TAN Hanno L.,NL","ACADEMISCH MEDISCH CENTRUM BIJ DE UNIVERSITEIT VAN AMSTERDAM,NL | BOINK Gerard J.J.,NL | TAN Hanno L.,NL"
WO2009120082A2,2008-03-27 | 2008-11-12 | 2009-03-27,"BOINK Gerard J.J.,NL | TAN Hanno L.,NL","ACADEMISCH MEDISCH CENTRUM BIJ DE UNIVERSITEIT VAN AMSTERDAM,NL | BOINK Gerard J.J.,NL | TAN Hanno L.,NL"
WO2009120082A9,2008-03-27 | 2008-11-12 | 2009-03-27,"BOINK Gerard J.J.,NL | TAN Hanno L.,NL","ACADEMISCH MEDISCH CENTRUM BIJ DE UNIVERSITEIT VAN AMSTERDAM,NL | BOINK Gerard J.J.,NL | TAN Hanno L.,NL"
WO2010098667A1,2009-02-27 | 2010-02-26,"VON EIJE Karin J.,NL | BERKHOUT Benjamin,NL | TER BRAKE Olivier,NL","ACADEMISCH MEDISCH CENTRUM BIJ DE UNIVERSITEIT VAN AMSTERDAM,NL | VON EIJE Karin J.,NL | BERKHOUT Benjamin,NL | TER BRAKE Olivier,NL"
WO2005034984A1,2003-10-16 | 2004-10-15,"PALS Steven T.,NL | VAN DER NEUT Ronald,NL","ACADEMISCH ZIEKENHUIS BIJ DE UNIVERSITEIT VAN AMSTERDAM,NL"
WO2004048408A3,2002-11-25 | 2003-11-25,"PEPPELENBOSCH Maikel Petrus,NL | ZIVKOVIC Danica,NL | DIKS Sander,NL | BINK Robert Jozef,NL","ACADEMISCH ZIEKENHUIS BIJ DE UNIVERSITEIT VAN AMSTERDAM,NL"
WO2004048408A2,2002-11-25 | 2003-11-25,"PEPPELENBOSCH Maikel Petrus,NL | ZIVKOVIC Danica,NL | DIKS Sander,NL | BINK Robert Jozef,NL","ACADEMISCH ZIEKENHUIS BIJ DE UNIVERSITEIT VAN AMSTERDAM,NL | PEPPELENBOSCH Maikel Petrus,NL | ZIVKOVIC Danica,NL | DIKS Sander,NL | BINK Robert Jozef,NL"
WO2008069659A1,2006-12-05 | 2007-12-05,"WEIJER Kees,NL | LEGRAND Nicolas,NL","ACADEMISCH ZIEKENHUIS BIJ DE UNIVERSITEIT VAN AMSTERDAM,NL | WEIJER Kees,NL | LEGRAND Nicolas,NL"
WO1998013475A1,1996-09-25 | 1997-09-24,"FALKENBURG Johan Herman Frederik,NL | GOSELINK Henri�tte Maria,NL","ACADEMISCH ZIEKENHUIS LEIDEN,NL"
WO2004024901A1,2002-09-16 | 2003-09-16,"FODDE Riccardo,NL | KIELMAN Menno F.,NL","ACADEMISCH ZIEKENHUIS LEIDEN,NL"
