id,Publication Number,Title,PriorityNumber,Priority Date,INPADOC Family ID,Inventor - w/address,INPADOC Family Members,Citing Patents,Cited Refs - Patent,Assignee - Original w/address,Priority Country,url,text
138,WO2006056633A1,CLONACIÓN CELULAR A PARTIR DE CÉLULAS GERMINALES ,ES20042811A | WO2005ES627A,2004,20060601WO2006056633A1,"REBANAL COLINO Marcos Pablo,ES",WO2006056633A1 | WO2006056633B1,,US20030051265A1 | US2003051265B1 | US6603059B1,,ES,http://www.google.com/patents?q=CLONACIÓN+CELULAR+A+PARTIR+DE+CÉLULAS+GERMINALES+&btnG=Search+Patents,0
146,WO2010076935A1,PHARMACEUTICAL COMPOSITION COMPRISING SIRNA SPECIFIC FOR REDUCED EXPRESSION-1 FOR TREATING THE BCNU-RESISTANCE GLIOBLASTOMA MULTIFORME ,KR2008138725A | WO2009KR4169A,2008,20100708KR2010080098A_,"KANG Soo-Kyung,KR",KR2010080098A_ | WO2010076935A1,,,"SNU R&DB FOUNDATION,KR | KANG Soo-Kyung,KR",KR,http://www.google.com/patents?q=PHARMACEUTICAL+COMPOSITION+COMPRISING+SIRNA+SPECIFIC+FOR+REDUCED+EXPRESSION-1+FOR+TREATING+THE+BCNU-RESISTANCE+GLIOBLASTOMA+MULTIFORME+&btnG=Search+Patents,0
150,WO2009140413A1,"RONIN IS ESSENTIAL FOR PERPETUITY OF MOUSE ES CELLS, AND ACTS INDEPENDENTLY OF CANONICAL PATHWAYS ",US2008127400P | WO2009US43827A,2008,20091119WO2009140413A1,"ZWAKA Thomas P.,US | DEJOSEZ Marion,US | ZITUR Laura Jo,US | KRUMENACKER Joshua S.,US",WO2009140413A1,,US20060194287A1,"BAYLOR COLLEGE OF MEDICINE,US | ZWAKA Thomas P.,US | DEJOSEZ Marion,US | ZITUR Laura Jo,US | KRUMENACKER Joshua S.,US",US,"http://www.google.com/patents?q=RONIN+IS+ESSENTIAL+FOR+PERPETUITY+OF+MOUSE+ES+CELLS,+AND+ACTS+INDEPENDENTLY+OF+CANONICAL+PATHWAYS+&btnG=Search+Patents",0
162,WO2006087233A3,RELEASE OF EXTRACELLULAR MEMBRANE PARTICLES CARRYING THE STEM CELL MARKER PROMININ-1 (CD133) FROM NEURAL PROGENITORS AND OTHER EPITHELIAL CELLS ,EP20053687A | WO2006EP1552A,2005,20060824WO2006087233A2,"CORBEIL Denis,DE | HUTTNER Wieland B.,DE | MARZESCO Anne Marie,DE",WO2006087233A2 | WO2006087233A3,US7897356B2,,"MAX PLANCK GESELLSCHAFT ZUR FÖRDERUNG DER WISSENSCHAFT E.V.,DE",EP,http://www.google.com/patents?q=RELEASE+OF+EXTRACELLULAR+MEMBRANE+PARTICLES+CARRYING+THE+STEM+CELL+MARKER+PROMININ-1+(CD133)+FROM+NEURAL+PROGENITORS+AND+OTHER+EPITHELIAL+CELLS+&btnG=Search+Patents,0
191,WO2007075525A3,COMBINATION OF AN IAP-INHIBITOR AND A TAXANE7 ,US2005752146P | WO2006US48163A,2005,20070705AU2006331964A1,"JENSEN Michael Rugaard,CH | STRAUB Christopher Sean,US | ZAWEL Leigh,US | TRAN Mary Ann,US | WANG Youzhen,US",AU2006331964A1 | CA2632256A1 | CN101340947A_ | EP1965865A2 | JP2009520816A_ | KR2008080131A_ | MX2008008191A_ | RU2008129630A_ | US20090005411A1 | US20100324083A1 | WO2007075525A2 | WO2007075525A3,,WO2002016402A2 | WO2005069894A2 | WO2005094818A1 | WO2005097791A1,"NOVARTIS AG,CH | NOVARTIS PHARMA GmbH,AT | JENSEN Michael Rugaard,CH | STRAUB Christopher Sean,US | ZAWEL Leigh,US | TRAN Mary Ann,US | WANG Youzhen,US",US,http://www.google.com/patents?q=COMBINATION+OF+AN+IAP-INHIBITOR+AND+A+TAXANE7+&btnG=Search+Patents,0
206,WO2005100549A1,METHOD OF PROLIFERATING ORGAN-SPECIFIC STEM CELL AND PROLIFERATION APPARATUS THEREFOR ,JP2004119179A | WO2005JP6424A,2004,20051027WO2005100549A1,"TAKAKURA Nobuyuki,JP",JP04534046B2 | WO2005100549A1,WO2009139177A1,JP2002065250A | JP2002065252A,"KANAZAWA UNIVERSITY TECHNOLOGY LICENSING ORGANIZATION LTD.,JP",JP,http://www.google.com/patents?q=METHOD+OF+PROLIFERATING+ORGAN-SPECIFIC+STEM+CELL+AND+PROLIFERATION+APPARATUS+THEREFOR+&btnG=Search+Patents,0
221,WO2010105144A2,METHOD OF DISEASE-INDUCED AND RECEPTOR-MEDIATED STEM CELL NEUROPROTECTION ,US2009159645P | WO2010US27122A,2009,20100916WO2010105144A2,"BORLONGAN Cesraio V.,US | PAROLINI Ornella,IT",WO2010105144A2,,,"UNIVERSITY OF SOUTH FLORIDA,US | MEDICAL COLLEGE OF GEORGIA,US | FONDAZIONE POLIAMBULANZA - ISTITUTO OSPEDALIERO,IT | BORLONGAN Cesraio V.,US | PAROLINI Ornella,IT",US,http://www.google.com/patents?q=METHOD+OF+DISEASE-INDUCED+AND+RECEPTOR-MEDIATED+STEM+CELL+NEUROPROTECTION+&btnG=Search+Patents,0
228,WO2003029438A3,IDENTIFYING AGENTS THAT PREVENT PALINDROME FORMATION AND GENE AMPLIFICATION ,US2001327831P | WO2002US32098A,2001,20030410WO2003029438A2,"TANAKA Hisashi,US | TAPSCOTT Stephen J.,US | YAO Meng-chao,US",AU2002340127A1 | WO2003029438A2 | WO2003029438A3,,US5739310A,"FRED HUTCHINSON CANCER RESEARCH CENTER,US",US,http://www.google.com/patents?q=IDENTIFYING+AGENTS+THAT+PREVENT+PALINDROME+FORMATION+AND+GENE+AMPLIFICATION+&btnG=Search+Patents,0
237,WO2007148609A1,EX VIVO/IN VIVO PROLIFERATION OF HEMATOPOIETIC STEM CELL OR HEMATOPOIETIC PROGENITOR CELL BY TIMP-3 ,JP2006169817A | WO2007JP62052A,2006,20071227WO2007148609A1,"NAKAJIMA Hideaki,JP | KITAMURA Toshio,JP",JP2009219354A_ | WO2007148609A1,,JP4035300A | JP9235300A,"THE UNIVERSITY OF TOKYO,JP | NAKAJIMA Hideaki,JP | KITAMURA Toshio,JP",JP,http://www.google.com/patents?q=EX+VIVO/IN+VIVO+PROLIFERATION+OF+HEMATOPOIETIC+STEM+CELL+OR+HEMATOPOIETIC+PROGENITOR+CELL+BY+TIMP-3+&btnG=Search+Patents,0
277,WO2000070022A3,EXPANSION,US1999134131P | WO2000US12895A,1999,20001123CA2369085A1,"SHIH Chu-Chih,US",AU200052686A_ | CA2369085A1 | EP1179049A2 | IL146397D0 | JP2002543829A_ | US20020160512A1 | WO2000070022A2 | WO2000070022A3 | WO2000070022A9,,WO1993018137A1,"CITY OF HOPE,US",US,http://www.google.com/patents?q=EXPANSION&btnG=Search+Patents,0
312,WO2008150001A1,ADIPOCLUSTER ,JP2007153424A | WO2008JP60501A,2007,20081211WO2008150001A1,"NAGASE Takashi,JP | KIKUCHI Toshiyuki,JP | FUJITA Yuko,JP | MURASE Shoko,JP",WO2008150001A1,,JP2002537849A | WO2003008592A1 | WO2003045137A1 | WO2008018190A1,"Biomaster Inc.,JP | National Hospital Organization,JP | NAGASE Takashi,JP | KIKUCHI Toshiyuki,JP | FUJITA Yuko,JP | MURASE Shoko,JP",JP,http://www.google.com/patents?q=ADIPOCLUSTER+&btnG=Search+Patents,0
317,WO2009036220A3,COMPOSITIONS AND METHODS FOR IMPROVING THE FUNCTIONAL EFFICACY OF STEM CELL-DERIVED CARDIOMYOCYTES ,US2007971855P | WO2008US76084A,2007,20090319CA2699642A1,"LI Ronald,US | SIU Chung-wah,US | LIEU Deborah K.,US | LIU Jing,US",CA2699642A1 | EP2198010A2 | EP2198010A4 | WO2009036220A2 | WO2009036220A3,,US20050042254A1 | US20070161107A1,"THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,US | LI Ronald,US | SIU Chung-wah,US | LIEU Deborah K.,US | LIU Jing,US",US,http://www.google.com/patents?q=COMPOSITIONS+AND+METHODS+FOR+IMPROVING+THE+FUNCTIONAL+EFFICACY+OF+STEM+CELL-DERIVED+CARDIOMYOCYTES+&btnG=Search+Patents,0
337,WO2009114878A3,PROCÉDÉS ET COMPOSITIONS POUR UNE MALADIE GÉNÉTIQUE ET RÉTINIENNE ,US200836717P | WO2009US37792A,2008,20090917WO2009114878A2,"DRENSER Kimberly,US",EP2276501A2 | WO2009114878A2 | WO2009114878A3,,,"DRENSER Kimberly,US",US,http://www.google.com/patents?q=PROCÉDÉS+ET+COMPOSITIONS+POUR+UNE+MALADIE+GÉNÉTIQUE+ET+RÉTINIENNE+&btnG=Search+Patents,0
339,WO2006026473A3,METHODS AND COMPOSITIONS UTILIZING MYC AND GSK3ß TO MANIPULATE THE PLURIPOTENCY OF EMBRYONIC STEM CELLS ,US2004604453P | WO2005US30488A,2004,20060309WO2006026473A2,"DALTON Stephen,US | SHEPPARD Allan,NZ | MCLEAN Cameron,US",US20080268533A1 | WO2006026473A2 | WO2006026473A3,,US20030170656A1,"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION INC.,US | DALTON Stephen,US | SHEPPARD Allan,NZ | MCLEAN Cameron,US",US,http://www.google.com/patents?q=METHODS+AND+COMPOSITIONS+UTILIZING+MYC+AND+GSK3ß+TO+MANIPULATE+THE+PLURIPOTENCY+OF+EMBRYONIC+STEM+CELLS+&btnG=Search+Patents,0
340,WO2010019997A1,ANTICORPS MONOCLONAL STRO-4 ,US2008189349P | WO2009AU1060A,2008,20100225WO2010019997A1,"GRONTHOS Stan,AU | ZANNETTINO Andrew Christopher William,AU",WO2010019997A1,,WO2006032092A1,"ANGIOBLAST SYSTEMS INC.,US | GRONTHOS Stan,AU | ZANNETTINO Andrew Christopher William,AU",US | AU,http://www.google.com/patents?q=ANTICORPS+MONOCLONAL+STRO-4+&btnG=Search+Patents,0
350,WO2007070592A2,THREE DIMENSIONAL DIELECTROPHORECTIC SEPARATOR AND METHODS OF USE ,US2005749760P | WO2006US47576A,2005,20070621WO2007070592A2,"HODKO Dalibor,US | HUANG Ying,US | SMOLKO Daniel,US",US20070187248A1 | US7686934B2 | WO2007070592A2 | WO2007070592A3 | WO2007070592A9,,US20030146100A1 | US20040152067A1,"NANOGEN INC.,US | HODKO Dalibor,US | HUANG Ying,US | SMOLKO Daniel,US",US,http://www.google.com/patents?q=THREE+DIMENSIONAL+DIELECTROPHORECTIC+SEPARATOR+AND+METHODS+OF+USE+&btnG=Search+Patents,0
351,WO2009137135A3,ON-ORBIT PROCEDURES FOR ADAPTING PLANTS AND ANIMALS TO HOSTILE ENVIRONMENTS ,US200829053P | WO2009US34286A,2008,20080605WO2008067422A2,"KENNEDY John W.,US",US20090328242A1 | WO2008067422A2 | WO2008067422A3 | WO2009137135A2 | WO2009137135A3,,WO2001023595A2,"ZGI INC.,US | KENNEDY John W.,US",US,http://www.google.com/patents?q=ON-ORBIT+PROCEDURES+FOR+ADAPTING+PLANTS+AND+ANIMALS+TO+HOSTILE+ENVIRONMENTS+&btnG=Search+Patents,0
359,WO2004037132A1,CHECHLIST-BASED FLOW AND TRACKING SYSTEM FOR PATIENT CARE BY MEDICAL PROVIDERS ,US2002273177A | WO2003US14544A,2002,20040418CA2460379A1,"SHEPARD Yolanda Denise,US",AU2003241399A1 | AU2003241399A2 | AU2003241399B2 | AU2003241399C1 | CA2460379A1 | CA2460379C_ | EP1553901A1 | EP1553901A4 | NZ533009A_ | US20040078078A1 | US7323011B2 | WO2004037132A1,,US20020029084A1 | US2002029084B1 | US6187329B1 | US6200347B1,"MUSCULOSKELETAL TRANSPLANT FOUNDATION,US | SHEPARD Yolanda Denise,US",US,http://www.google.com/patents?q=CHECHLIST-BASED+FLOW+AND+TRACKING+SYSTEM+FOR+PATIENT+CARE+BY+MEDICAL+PROVIDERS+&btnG=Search+Patents,0
374,WO2004035073A1,COMPOSITION FOR TREATING MYELOID LEUKEMIA AND INCREASING IMMUNITY COMPRISING SALICORNIA HERBACEA EXTRACTS ,WO2002KR1933A,2002,20040429WO2004035073A1,"LEE Chong Kil,KR | IM Sun A,KR | KIM Goo Whan,KR | KIM Jae Heung,KR",AU2002349558A1 | JP04327727B2 | JP2006506370A_ | WO2004035073A1,,KR2000012555A | KR2000074066A | KR2002013952A | KR2002025109A | KR2002028776A | KR2002085112A,"GOOD BIO LTD.,KR",KR,http://www.google.com/patents?q=COMPOSITION+FOR+TREATING+MYELOID+LEUKEMIA+AND+INCREASING+IMMUNITY+COMPRISING+SALICORNIA+HERBACEA+EXTRACTS+&btnG=Search+Patents,0
402,WO1995017092A1,"MACROPHAGE INFLAMMATORY PROTEINS-3, -4 AND -1Sg(g) ",US1993173209A | US1994208339A | WO1994US7256A,1993,19950629CA2179606A1,LI Haodong | ROSEN Craig A. | RUBEN Steve | ADAMS Mark D.,AT262914T_ | AU199475497A_ | AU199531346A_ | AU199673790A_ | AU199746576A_ | AU199895804A_ | AU200110834A_ | AU200215445A_ | AU200215446A_ | AU684539B2 | AU711573B2 | AU775308B2 | AU777297B2 | BG102413A_ | BR199610671A_ | CA2179606A1 | CA2220123A1 | CA2267193A1 | CA2267641A1 | CA2308003A1 | CA2387545A1 | CN1125082C_ | CN1143894A_ | CN1186501A_ | CN1198186A_ | CN1239510A_ | CN1321745A_ | CN1405180A_ | CN1407900A_ | CN1515672A_ | CZ199800921A3 | DE69433666D1 | DE69433666T2 | DK735818T3 | EP1019487,EP1422239A2 | EP1534752A2 | EP807439B1 | EP807439A2 | EP793672A1 | EP848012A1 | EP871672A1 | EP946593B1 | WO2000003728A1 | WO2000001817A2 | WO1998025966A1 | WO1998017800A1 | WO1998014582A1 | WO1998014467A1 | WO1998007862A2 | WO1997044462A1 | WO1997041230A2 | WO1997029125A1 | WO1997015594A1 | WO1996040923A1 | WO1996032481A1 | US7851596B2 | US7829293B2 | US7521194B2 | US7375192B2 | US7364865B2 | US7217700B2 | US7183081B2 | US7138498B2 | US7135551B2 | US7041460B2 | US7018627B1 | US7001595B2 | US692,,HUMAN GENOME SCIENCES INC.,US,"http://www.google.com/patents?q=MACROPHAGE+INFLAMMATORY+PROTEINS-3,+-4+AND+-1Sg(g)+&btnG=Search+Patents",0
422,WO2005070450A8,"USE OF LOW-DOSE ERYTHROPOIETIN FOR STIMULATING ENDOTHELIAL PRECURSOR CELLS, REGENERATING ORGANS, AND SLOWING DOWN PROGRESSION OF END ORGAN DAMAGES ",DE102004004509A | WO2005EP618A,2004,20050804AU2005205917A1,BAHLMANN FERDINAND HERMANN | HALLER HERMANN,AU2005205917A1 | AU2005205917B2 | AU2010200621A1 | BR200507048A_ | CA2554234A1 | CN101601857A_ | CN1942200A_ | DE102004004509A1 | DE102004004509B4 | DE102004063927A1 | EA200601359A1 | EA200702523A1 | EA200900874A1 | EP1711201A2 | EP2156843A2 | IL177017D0 | IL208497D0 | JP2007518769A_ | JP2010235613A_ | KR2007007082A_ | NO200603716A_ | NZ548697A_ | SG149875A1 | US20070161552A1 | WO2005070450A2 | WO2005070450A3 | WO2005070450A8 | ZA200606515A_,,EP965349A1 | RU2144815A | US20020048558A1 | US2002048558B1 | US20030068297A1 | US2003068297B1 | US6284260B1 | WO1989007944A1 | WO1998010650A1 | WO1998019712A1 | WO2002014356A2 | WO2003037273A2 | WO2003057242A1 | WO2003103608A2 | WO2004012759A2 | WO2005037304A1,,DE | EP,"http://www.google.com/patents?q=USE+OF+LOW-DOSE+ERYTHROPOIETIN+FOR+STIMULATING+ENDOTHELIAL+PRECURSOR+CELLS,+REGENERATING+ORGANS,+AND+SLOWING+DOWN+PROGRESSION+OF+END+ORGAN+DAMAGES+&btnG=Search+Patents",0
431,WO1999056785A2,MUSCLE&#8211;DERIVED CELL MEDIATED GENE DELIVERY FOR TREATING MUSCLE&#8211; AND BONE&#8211;RELATED INJURY OR DYSFUNCTION ,US199883917P | WO1999US9451A,1998,19991111CA2330660A1,"CHANCELLOR Michael B.,US | HUARD Johnny,US",AT365045T_ | AT369141T_ | AT414524T_ | AU199937757A_ | AU2001251599B2 | AU200151599A_ | AU2006202380A1 | AU2006202380B2 | AU2008307519A1 | CA2330660A1 | CA2406393A1 | CA2701354A1 | DE60129007D1 | DE60129007T2 | DE69936785D1 | DE69939956D1 | DK1272204T3 | DK1604674T3 | EP1113807A2 | EP1113807B1 | EP1272204A2 | EP1272204B1 | EP1604674A2 | EP1604674A3 | EP1604674B1 | EP2075002A2 | EP2075002A3 | EP2209482A2 | ES2288946T3 | ES2319660T3 | HK1052645A1 | JP2003531125A_ | JP2010540639A_ | PT1272204E_ | S,AU2001266127B2 | EP1150698B1 | EP1210102A2 | EP1210102B1 | EP1272204B1 | WO2004096245A2 | US7887792B2 | US7338655B1 | US7329645B2 | US7115417B1 | US6706682B2 | US6315992B1 | FR2810045A1 | EP1617852B1 | EP1617852A2 | WO2001094555A1 | WO2001078754A3 | WO2001078754A2 | WO2000066177A1 | WO2000043029A1 | EP1372398A2 | EP1292671B9 | EP1292671B1,US5594032A | WO1996018303A1 | WO1998036055A1,"UNIVERSITY OF PITTSBURGH,US",US,http://www.google.com/patents?q=MUSCLE&#8211;DERIVED+CELL+MEDIATED+GENE+DELIVERY+FOR+TREATING+MUSCLE&#8211;+AND+BONE&#8211;RELATED+INJURY+OR+DYSFUNCTION+&btnG=Search+Patents,0
433,WO1996015816A2,STABLE N-TERMINALLY LINKED DTPA:PROTEIN COMPOSITIONS AND METHODS,US1994342481A | WO1995US15072A,1994,19960530CA2205064A1,"LITZINGER DAVID C. US,US | RALPH LLOYD D. US,US",AU199643667A_ | AU709012B2 | CA2205064A1 | EP796113A2 | JP10509179A_ | MX199703549A_ | WO1996015816A2 | WO1996015816A3,AU780453B2 | WO2000041514A3 | WO2000041514A2 | WO1999009052A1 | WO1997049386A1 | US6491893B1 | US6017876A | JP04060873B2 | JP03925937B2 | JP03741610B2 | EP1762574A2 | EP1146913B1,WO1991000111A1,"AMGEN INC. US,US",US,http://www.google.com/patents?q=STABLE+N-TERMINALLY+LINKED+DTPA:PROTEIN+COMPOSITIONS+AND+METHODS&btnG=Search+Patents,0
441,WO1998027995A1,"TREATMENT OF MAMMALIAN MYOCARDIUM WITH MORPHOGEN LOCALLY, OR WITH MORPHOGENICALLY-TREATED MYOGENIC PRECURSOR CELLS ",US199633145P | WO1997US23611A,1996,19980702CA2275436A1,"COHEN Charles M.,US | SAMPATH Kuber T.,US",AU199857119A_ | AU741350B2 | CA2275436A1 | EP952845A1 | JP2001507354A_ | WO1998027995A1,AU770889B2 | WO2010144696A1 | WO2005028616A3 | WO2005028616A2 | WO2001007568A3 | WO2001007568A2 | US6673604B1,WO1995014079A1 | WO1996028541A1 | WO1998006420A1,"CREATIVE BIOMOLECULES INC.,US",US,"http://www.google.com/patents?q=TREATMENT+OF+MAMMALIAN+MYOCARDIUM+WITH+MORPHOGEN+LOCALLY,+OR+WITH+MORPHOGENICALLY-TREATED+MYOGENIC+PRECURSOR+CELLS+&btnG=Search+Patents",0
455,WO2010014218A3,PUF-A AND RELATED COMPOUNDS FOR TREATMENT OF RETINOPATHIES AND SIGHT-THREATENING OPHTHALMOLOGIC DISORDERS ,US2008137427P | WO2009US4373A,2008,20100204WO2010014218A2,"YU John,US | YU Alice,US | KUO Ming-Wei,TW | CHANG Jui-Chin,TW",WO2010014218A2 | WO2010014218A3,,WO2002082904A2 | WO2004084951A2,"ACADEMIA SINICA,TW | YU John,US | YU Alice,US | KUO Ming-Wei,TW | CHANG Jui-Chin,TW",US,http://www.google.com/patents?q=PUF-A+AND+RELATED+COMPOUNDS+FOR+TREATMENT+OF+RETINOPATHIES+AND+SIGHT-THREATENING+OPHTHALMOLOGIC+DISORDERS+&btnG=Search+Patents,0
464,WO2010006704A1,OXAZOLOPYRIMIDINES AS EDG-1 RECEPTOR AGONISTS ,EP2008290694A | WO2009EP4770A,2008,20100121AU2009270511A1,"KADEREIT Dieter,DE | SCHAEFER Matthias,DE | CZECHTIZKY Werngard,DE",AR72496A1 | AU2009270511A1 | UY31981A_ | WO2010006704A1,,WO2005000833A1 | WO2007061458A2,"SANOFI-AVENTIS,FR | KADEREIT Dieter,DE | SCHAEFER Matthias,DE | CZECHTIZKY Werngard,DE",EP,http://www.google.com/patents?q=OXAZOLOPYRIMIDINES+AS+EDG-1+RECEPTOR+AGONISTS+&btnG=Search+Patents,0
