Publication Number,Title,Claims
WO2002102971A3,METHODS OF UTILIZING CULTURED HEMATOPOIETIC PROGENITOR CELLS FOR INDUCING IMMUNOLOGICAL TOLERANCE ,
WO2007089762A3,"DEVICES FOR SELECTIVE RECRUITMENT, ISOLATION, ACTIVATION, AND/OR ELIMINATION OF VARIOUS CELL POPULATIONS ",
WO2007056551A3,TRANSGENIC RATS AND SPERMATOGONIAL STEM CELLS ,
WO2008013985A3,USE OF HEAT SHOCK ACTIVATORS FOR TISSUE REGENERATION ,
WO2003095628A3,"CONTROL OF ES CELL SELF RENEWAL AND LINEAGE SPECIFICATION, AND MEDIUM THEREFOR ",
WO2007002664A3,PROPAGATION OF UNDIFFERENTIATED EMBRYONIC STEM CELLS IN HYALURONIC ACID HYDROGEL ,
WO2003029438A3,IDENTIFYING AGENTS THAT PREVENT PALINDROME FORMATION AND GENE AMPLIFICATION ,
WO2005123906A1,METHOD OF INCREASING AMOUNT OF INSULIN SECRETED AND/OR PRODUCED BY INSULIN-PRODUCING CELL ,
WO2006040615A3,DIFFERENCIATION OF STEM CELLS FOR THERAPEUTIC USE ,
WO2006047299A3,ORGANOTYPIC SLICE CULTURES AND USES THEREOF ,
WO2007148609A1,EX VIVO/IN VIVO PROLIFERATION OF HEMATOPOIETIC STEM CELL OR HEMATOPOIETIC PROGENITOR CELL BY TIMP-3 ,
WO2009019320A3,METHOD FOR INDUCING AND ACCELERATING CELLS ,
WO2008093827A1,"THERAPEUTIC AGENT FOR CENTRAL NERVOUS SYSTEM DISORDER, AND METHOD FOR TREATMENT OF CENTRAL NERVOUS SYSTEM DISORDER ",
WO2006086404A3,SYNOVIAL FLUID BARRIER ,
WO2007058982A3,MNTF DIFFERENTIATION AND GROWTH OF STEM CELLS ,
WO2009081369A3,METHOD FOR TREATING FETAL GROWTH DISORDERS ,
WO2007139939A3,METHODS AND COMPOSITIONS USING IMMUNOMODULATORY COMPOUNDS IN COMBINATION THERAPY ,
WO1997007225A3,HIGH EFFICIENCY RETROVIRAL PACKAGING SYSTEM,
WO2008056173A8,PLURIPOTENT CELLS FROM THE MAMMALIAN LATE EPIBLAST LAYER ,
WO2007072491A3,SUSTAINED RELEASE PHARMACEUTICAL FORMULATION AND TREATMENT OF ISCHEMIC HEART DISEASE BY ADMINISTERING THE SAME ,
WO2002016573A3,"GENETICALLY MODIFIED, NON-HUMAN MAMMAL CONTAINING AN ADDITIONAL INDUCIBLE REGULATOR GENE ",
WO2009105624A3,TRANSFERT SIMULTANÉ DE RÉCEPTEURS ET/OU DE CO-RÉCEPTEURS POUR LA STABILITÉ ET L'ACTIVITÉ DE FACTEURS DE CROISSANCE ,
WO1999046366A8,USES FOR HUMANE NON-AUTOLOGOUS MESENCHYMAL STEM CELLS ,
WO2007145840A3,COMPOSITIONS AND METHODS FOR DIAGNOSING AND TREATING CANCER ,
WO2000070022A3,EXPANSION,
WO2006138552A3,"TISSUE ENGINEERED CARTILAGE, METHOD OF MAKING SAME, THERAPEUTIC AND COSMETIC SURGICAL APPLICATIONS USING SAME ",
WO2007146106A3,"PROCUREMENT, ISOLATION AND CRYOPRESERVATION OF MATERNAL PLACENTAL CELLS ",
WO2006035083A1,BIOMATERIAL FOR SUTURE ,
WO2006093137A1,METHOD OF FABRICATING SHEET FOR CARTILAGE TISSUE REGENERATION ,
WO2008087642A3,NUCLEIC ACID CONSTRUCTS AND METHODS FOR SPECIFIC SILENCING OF H19 ,
WO2006073126A1,PREVENTIVE AND REMEDY FOR DRY EYE ASSOCIATED WITH CHRONIC GRAFT VERSUS HOST DISEASE ,
WO2007079753A3,MUTANT DEOXYADENOSINE KINASE ENZYMES AND THEIR USE ,
WO2008150001A1,ADIPOCLUSTER ,
WO2003064463B1,PLURIPOTENCY DETERMINING FACTORS AND USES THEREOF ,
WO2009036220A3,COMPOSITIONS AND METHODS FOR IMPROVING THE FUNCTIONAL EFFICACY OF STEM CELL-DERIVED CARDIOMYOCYTES ,
WO2006119965A3,GROWTH FACTOR MUTANTS WITH ALTERED BIOLOGICAL ATTRIBUTES ,
WO2009027640A3,DEVICE CAPABLE OF RELEASING CALCIUM LACTATE ,
WO2002007679A3,ADULT HUMAN DENTAL PULP STEM CELLS ,
WO2004113513A3,METHODS AND COMPOSITIONS FOR MODULATING STEM CELL GROWTH AND DIFFERENTIATION ,
WO2009114878A3,PROCÉDÉS ET COMPOSITIONS POUR UNE MALADIE GÉNÉTIQUE ET RÉTINIENNE ,
WO2006026473A3,METHODS AND COMPOSITIONS UTILIZING MYC AND GSK3ß TO MANIPULATE THE PLURIPOTENCY OF EMBRYONIC STEM CELLS ,
WO2008020056A3,AEROSOL FORMULATION CONTAINING BETA AGONISTS AND STEROIDS ,
WO2008090826A1,"METHOD FOR PRODUCTION OF MESENCHYMAL CELL, METHOD FOR PRODUCTION OF TOOTH, AND MESENCHYMAL CELL FOR FORMATION OF TOOTH ",
WO2009099555A3,SYNTHETIC SURFACES FOR CULTURING CELLS IN CHEMICALLY DEFINED MEDIA ,
WO2009137135A3,ON-ORBIT PROCEDURES FOR ADAPTING PLANTS AND ANIMALS TO HOSTILE ENVIRONMENTS ,
WO2007008309A3,"STEM AND PROGENITOR CELL EXPANSION BY EVI, EVI-LIKE GENES AND SETBP1 ",
WO2010027802A9,METHODS FOR TREATING DIABETIC WOUNDS ,
WO2010107285A2,PROCÉDÉ DE PRODUCTION EN GRANDES QUANTITÉS S'APPLIQUANT AU FACTEUR DE CROISSANCE ET UTILISANT DES CELLULES SOUCHES MÉSENCHYMATEUSES FOETALES DU LE LIQUIDE AMNIOTIQUE ,
WO2009004484A3,TRIM24 (TIFLA) AS P53 MODULATOR AND CANCER TARGET ,
WO2010078209A3,BIORESORBABLE FOAMING TISSUE DRESSING ,
WO2010004096A3,CULTURE OF CELLS ,
WO2000031237A3,METHOD OF CLONING PORCINE ANIMALS ,
WO2007056547A3,ACELLULARIZED BIOMATERIAL FROM EMBRYONIC STEM CELLS ,
WO2008021196A3,METHODS AND COMPOSITIONS FOR THE TREATMENT OF MEDICAL DISORDERS ,
WO2009109769A3,SCREENING FOR NON-GENOTOXIC CARCINOGENS ,
WO2005072417A3,VASCULAR ENDOTHELIAL GROWTH FACTORS AND METHODS OF THEIR USE ,
WO2005020679A1,METHOD OF CONSTRUCTING OFFSPRING ORIGINATING FROM FROZEN SPERM STEM CELL ,
WO2005083427A1,A METHOD OF ASSAYING SPECIFICATION OF LYMPHOCYTE ACTIVATION ,
WO2007146811A3,ASSESSMENT OF CELLULAR COMPOSITION AND FRACTIONAL VIABILITY AND USES THEREOF ,
WO2007100475A3,HYDROGEL BIOSCAFFOLDINGS AND BIOMEDICAL DEVICE COATINGS ,
WO2006044832A3,DEVICE FOR TISSUE ENGINEERING ,
WO2007107882A3,METHOD FOR PURIFYING GRANULOCYTE-COLONY STIMULATING FACTOR ,
WO2005120549A3,LOCAL DELIVERY OF GROWTH FACTORS FOR STEM CELL TRANSPLANTATION ,
WO2002033043A3,METHOD AND MARKER FOR THE ISOLATION OF HUMAN MULTIPOTENT HEMATOPOIETIC STEM CELLS ,
WO2008094510A3,METHODS OF MODULATING IMMUNE FUNCTION ,
WO2005034843A3,METHODS OF USING REGENERATIVE CELLS IN THE TREATMENT OF PERIPHERAL VASCULAR DISEASE AND RELATED DISORDERS ,
WO2002030257A9,NORMALIZATION OF DEFECTIVE T CELL RESPONSIVENESS THROUGH MANIPULATION OF THYMIC REGENERATION ,
WO2004074465A1,HUMAN SALIVARY GLAND-ORIGIN STEM CELL ,
WO2007058934A3,METHODS AND COMPOSITIONS FOR TREATING BASEMENT MEMBRANE DISORDERS ,
WO2004097005A3,GLOBAL ANALYSIS OF TRANSPOSABLE ELEMENTS AS MOLECULAR MARKERS OF THE DEVELOPMENTAL POTENTIAL OF STEM CELLS ,
WO2010077310A3,AMIDE DERIVATIVES OF ETHACRYNIC ACID ,
WO2001094541A3,HUMAN MESENCHYMAL PROGENITOR CELL ,
WO2005070450A8,"USE OF LOW-DOSE ERYTHROPOIETIN FOR STIMULATING ENDOTHELIAL PRECURSOR CELLS, REGENERATING ORGANS, AND SLOWING DOWN PROGRESSION OF END ORGAN DAMAGES ",
WO2006029198A3,CULTURING HUMAN EMBRYONIC STEM CELLS ,
WO2009151614A3,A RESILIENT DENTAL SYSTEM AND METHOD THEREOF ,
WO2007130487A3,"METHODS OF IDENTIFYING SMALL MOLECULES FOR RENEWAL, SURVIVAL AND MIGRATION OF CARDIAC PROGENITORS ",
WO2009134429A3,METHODS AND COMPOSITIONS FOR MODULATING IMMUNOLOGICAL TOLERANCE ,
WO2002102997A3,ISOLATED HOMOZYGOUS STEM CELLS DIFFERENTIATED CELLS DERIVED THEREFROM AND MATERIALS AND METHODS FOR MAKING AND USING SAME ,
WO2009071903A3,COMPOSITION COMPRISING A CHONDROITIN SULPHATE PROTEOGLYCAN INHIBITORY AGENT AND AN ANTI-INFLAMMATORY AGENT ,
WO2008101700A3,BISPECIFIC FUSION PROTEIN HAVING THERAPEUTIC AND DIAGNOSTIC POTENTIAL ,
WO2006106823A1,METHOD FOR DISTINGUISHING MESENCHYMAL STEM CELL USING MOLECULAR MARKER AND USE THEREOF ,
WO2010014218A3,PUF-A AND RELATED COMPOUNDS FOR TREATMENT OF RETINOPATHIES AND SIGHT-THREATENING OPHTHALMOLOGIC DISORDERS ,
WO2004073741A1,REMEDY FOR SPINAL INJURY CONTAINING INTERLEUKIN-6 ANTAGONIST ,
WO2005035578A1,ANTIBODY COMPOSITION SPECIFICALLY BINDING TO GANGLIOSIDE GM2 ,
WO2006113181A3,STEM-LIKE CELLS IN BONE SARCOMAS ,
WO2007124478A3,"METHOD AND SYSTEM FOR PREPARING SOFT TISSUE FOR GRAFTING, ENHANCING GRAFTING RESULTS, AND GRAFTING AUTOLOGOUS FAT AND ADIPOCYTE DERIVED STEM CELLS TO SOFT TISSUE SUCH AS THE BREAST AND OTHER TISSUE DEFECTS ",
WO2004073486A3,DIAGNOSTIC DEVICE AND METHOD ,
WO2009105570A3,"METHODS, SURFACE MODIFIED PLATES AND COMPOSITIONS FOR CELL ATTACHMENT, CULTIVATION AND DETACHMENT ",
WO2009120762A3,HUMAN CARDIOVASCULAR PROGENITOR CELLS ,
WO1995034669A3,RETROVIRAL GENE THERAPY VECTORS AND THERAPEUTIC METHODS BASED THEREON ,
WO2010007551A3,METHOD FOR THE PRODUCTION OF TENOCYTES IN VITRO FROM MESENCHYMAL STEM CELLS ,
WO2004081174A2,MARKER FOR DETECTING MESENCHYMAL STEM CELL AND METHOD OF DISTINGUISHING MESENCHYMAL STEM CELL USING THE MARKER ,
WO2010131917A2,"TSP-1, TSP-2, IL-17BR AND HB-EGF ASSOCIATED WITH STEM CELL ACTIVITIES AND APPLICATIONS THEREOF ",
WO2006104536A3,POLYNUCLEOTIDES ENCODING STEM CELL FACTOR-LIKE PROTEINS ,
WO2008115714A3,EVALUATING RTK TARGET DRUGS ,
WO2001060981A8,TOOTH PROGENITOR CELL AND METHOD FOR ITS PRODUCTION ,
WO2007112084A3,METHOD TO MODULATE HEMATOPOIETIC STEM CELL GROWTH ,
WO2008027848A3,TRANSCRIPTION FACTORS FOR DIFFERENTIATION OF ADULT HUMAN OLFACTORY PROGENITOR CELLS ,
WO2001066150A9,HIGHLY EFFICIENT GENE TRANSFER INTO HUMAN REPOPULATING STEM CEL LS BY <i>RD114 PSEUDOTYPED</i> RETROVIRAL VECTOR PARTICLES ,
WO2010046519A1,ANIMAL MODEL OF HUMAN ANGIOGENESIS AND APPLICATIONS THEREOF ,
WO2005041942A3,THREE-DIMENSIONAL MAMMALIAN OVARIAN FOLLICULAR CELL AND OVARIAN FOLLICLE CULTURE SYSTEMS IN A BIOCOMPATIBLE MATRIX ,
WO2006130812A3,"PLASMA-DEPLETED, NON-RED BLOOD CELL-DEPLETED CORD BLOOD COMPOSITIONS AND METHODS OF USE ",
WO2003106673A1,METHOD OF SLECTIVE ISOLATION OR VISUALIZATION OF TARGET CELLS DIFFERENTIATED FROM EMBRYONIC STEM CELLS OR KIT FOR VISUALIZATION ,
WO2007091078A3,"POLYPEPTIDE CONJUGATE COMPRISING HLA-G AND USES THEREOF, STEM CELLS TRANSFECTED WITH HLA-G ",
WO2007120699A3,REAGENTS AND METHODS FOR USING HUMAN EMBRYONIC STEM CELLS TO EVALUATE TOXICITY OF PHARMACEUTICAL COMPOUNDS & OTHER CHEMICALS ,
WO2007084957A3,TRANSPLANTATION OF NEURAL CELLS ,
WO2008013664A3,METHODS OF PRODUCING PANCREATIC HORMONES ,
WO2010119769A1,METHOD FOR EVALUATION OF CHRONIC STRESS ,
WO2010065546A3,MAINTENANCE/EXPANSION OF HSCs ,
WO2007060864A1,ANTIBODY-PRODUCING PRECURSOR B CELL WHOSE GROWTH AND DIFFERENTIATION CAN BE CONTROLLED ,
WO2006031467A9,ISOLATED LINEAGE NEGATIVE HEMATOPOIETIC STEM CELLS AND METHODS OF TREATMENT THEREWITH ,
WO2010062059A3,"HYDROGEL TYPE CELL DELIVERY VEHICLE FOR WOUND HEALING, AND PREPARATION METHOD THEREOF ",
WO1999015684A8,EXPRESSION OF GENES IN HEMATOPOIETIC STEM CELLS IN HISCHAEMIC CONDITIONS ,
WO2010087564A2,METHOD FOR INDUCING IMPROVED DOPAMINERGIC NEURONS BY MUTANT NURR1 GENE EXPRESSION ,
WO2001064835A2,NOVEL NUCLEIC ACIDS AND POLYPEPTIDES ,
WO2010017551A3,METHOD FOR MIR-125A IN PROMOTING HEMATOPOIETIC STEM CELL SELF RENEWAL AND EXPANSION ,
WO2005001042A8,SMOOTH MUSCLE PROGENITOR CELLS ,
WO2003100011A3,GENERATION OF HISTOCOMPATIBLE TISSUES USING NUCLEAR TRANSPLANTATION ,
WO2007062245A3,HUMAN MONOCLONAL ANTIBODY HUMAN CD134 (OX40) AND METHODS OF MAKING AND USING SAME ,
WO2002029014A3,STEM CELL DIFFERENTIATION-INDUCING PROMOTER ,
WO2008088456A3,"METHODS, COMPOSITIONS AND DEVICES FOR TREATING LEASIONED SITES USING BIOABSORBABLE CARRIERS ",
WO2010026575A3,ADHERENT CELLS FROM PLACENTA TISSUE AND USE THEREOF IN THERAPY ,
WO2003059365A1,REMEDY FOR DYSMNESIA ,
WO2007088372A3,CELL CULTURE ,
WO2008098165A3,OSCILLATING CELL CULTURE BIOREACTOR ,
WO2005112981A3,COMPOSITIONS AND METHODS FOR THE STIMULATION OR ENHANCEMENT OF BONE FORMATION AND THE SELF-RENEWAL OF CELLS ,
WO2008010100A3,IMMUNODEFICIENT MICE TRANSGENIC FOR HLA CLASS I AND HLA CLASS II MOLECULES AND THEIR USES ,
WO2008148105A8,ENDOMETRIAL STEM CELLS AND METHODS OF MAKING AND USING SAME ,
WO2007005787A3,METHODS AND COMPOSITIONS FOR KERATINOCYTE CULTURE AND THERAPEUTICS ,
WO2008153664A3,METHOD FOR TREATING HERNIATED DISCS ,
WO2007024441A3,"COMPOSITIONS OF CELLS ENRICHED FOR COMBINATIONS OF VARIOUS STEM AND PROGENITOR CELL POPULATIONS, METHODS OF USE THEREOF AND METHODS OF PRIVATE BANKING THEREOF ",
WO2010082798A2,"COMPOSITION CONTAINING EXTRACTS OF FUSCOPORIA OBLIQUA, GANODERMA LUCIDUM AND PHELLINUS LINTEUS FOR PROMOTING THE PROLIFERATION OF HEMATOPOIETIC STEM CELLS ",
WO2003103573A3,METHODS FOR TREATING A NEUROLOGICAL DISORDER BY PERIPHERAL ADMINISTRATION OF A TROPHIC FACTOR ,
WO2008073858A3,CANCER CHEMOPREVENTION STRATEGY BASED ON LOSS OF IMPRINTING OF IGF2 ,
WO2009073523A3,DE-DIFFERENTIATION OF HUMAN CELLS ,
WO2002037101A3,A METHOD TO DETERMINE AN ENGRAFTING CELL DOSE OF HEMATOPOIETIC STEM CELL TRANSPLANT UNITS ,
WO2009079592A3,MODULATING IMMUNE SYSTEM DEVELOPMENT AND FUNCTION THROUGH MICRORNA MIR-146 ,
WO2009093022A3,CELL RE-PROGRAMMING ,
WO2007081631A3,METHOD OF PRODUCING INSULIN-SECRETING CELLS FROM ADULT STEM CELLS VIA TRANSFECTION ,
WO2010143529A1,PROCÉDÉ DESTINÉ À INDUIRE LA DIFFÉRENCIATION D'UNE CELLULE-SOUCHE PLURIPOTENTE EN UNE CELLULE ÉPITHÉLIALE THYMIQUE ,
WO2007044887A3,METHOD FOR PRODUCING A POPULATION OF HOMOGENOUS TETRAVALENT BISPECIFIC ANTIBODIES ,
WO2007134259A3,COMPOUNDS AND COMPOSITIONS AS PROTEIN KINASE INHIBITORS ,
WO2009076057A3,METHODS AND COMPOSITIONS RELATING TO MULTIPLEXED GENOMIC GAIN AND LOSS ASSAYS ,
WO2006008748A3,POROUS PLASMA PROTEIN MATRICES AND METHODS FOR PREPARATION THEREOF ,
WO2009001561A1,METHOD FOR STORING BIOLOGICAL MATERIAL ,
WO2009075119A1,EFFECTIVE NUCLEUS INITIALIZATION METHOD ,
WO2010134619A1,"METHOD FOR INDUCING DIFFERENTIATION OF ARTIFICIAL PLURIPOTENT STEM CELLS INTO EPITHELIAL PROGENITOR CELLS, STEM CELLS AND CORNEAL EPITHELIAL CELLS ",
WO2002013602A1,"TRANSGENIC NON-HUMAN MAMMAL AND METHOD OF CONSTRUCTING THE SAME, ANIMAL DISEASE MODEL AND METHOD OF CLARIFYING GENE FUNCTION ",
WO2004030628A9,ADULT BONE MARROW DERIVED STEM CELLS ,
WO2002028997A3,METHODS OF ISOLATING BIPOTENT HEPATIC PROGENITOR CELLS ,
WO2007002210A3,EMBRYONIC STEM CELL CULTURE COMPOSITIONS AND METHODS OF USE THEREOF ,
WO2007122823A1,TUMOR TARGET CELL CAPABLE OF PRODUCING VECTOR ,
WO2004065599A1,Lrp4/CORIN DOPAMINE-PRODUCING NEURON PROLIFERATION PRECURSOR CELL MARKER ,
WO2003083070A3,ENDOTHELIAL CELLS DERIVED FROM HUMAN EMBRYONIC STEM CELLS ,
WO2004083406A3,GENES THAT ARE UP-OR DOWN-REGULATED DURING DIFFERENTIATION OF HUMAN EMBRYONIC STEM CELLS ,
WO2006031353A3,VASCULAR ENDOTHELIAL GROWTH FACTOR FUSION CONSTRUCTS AND USES THEREOF ,
WO2007081943A3,METHODS AND COMPOSITIONS FOR PROMOTING ATTACHMENT OF CELLS OF ENDOTHELIAL CELL LINEAGE TO MEDICAL DEVICES ,
WO2009015186A3,ARTICLES AND METHODS FOR REPAIRING DAMAGED NERVOUS TISSUE ,
WO2010021714A3,IMPROVED CELL COMPOSITION AND METHODS OF MAKING THE SAME ,
WO2002040061A9,IMMUNOCOMPETENT ANIMALS INCLUDING XENOGENEIC IMPLANTS OF MESENCHYMAL STEM CELLS ,
WO2001094549A9,METHODS OF DIFFERENTIATING AND PROTECTING CELLS BY MODULATING THE P38/MEF2 PATHWAY ,
WO2009102493A3,USE OF EGFRVIII TO IDENTIFY AND TARGET CANCER STEM CELLS ,
WO2002081664A3,"USE OF NUCLEOSIDES, NUCLEOBASES AND DERIVATIVES THEREOF FOR IMPROVED PRODUCTION OF ADULT STEM CELLS ",
WO2008075339A3,SCAFFOLDING FOR TISSUE REGENERATION OR REPAIR ,
WO2009028870A4,"COMPOSITION FOR THE DIAGNOSIS, PREVENTION OR TREATMENT OF DISEASES RELATED TO CELLS EXPRESSING IL-8 OR GRO-ALPHA, COMPRISING UCB-MSCS ",
WO2001085973A1,ANTISENSE TYPE GENE TRAP VECTOR ,
WO2009157562A1,"METHOD FOR ESTABLISHMENT OF ADULT PANCREATIC STEM CELL, AND METHOD FOR DIFFERENTIATION OF ADULT PANCREATIC STEM CELL ",
WO2009102021A1,TREATMENT OF RETINAL DISEASE BY ACTIVATION OF THE FUNCTION OF BONE MARROW-DERIVED STEM CELL OR PROGENITOR CELL THEREOF ,
WO2004030626A3,IN VITRO CULTURE OF TISSUE STRUCTURES ,
WO2006090849A1,PREVENTIVE OR REMEDY FOR INFLAMMATORY OCULAR SURFACE DISEASES ,
WO2007108003A3,METHODS FOR CELL EXPANSION AND USES OF CELLS AND CONDITIONED MEDIA PRODUCED THEREBY FOR THERAPY ,
WO2002086082A3,ISOLATION OF NEURAL STEM CELLS USING GANGLIOSIDES AND OTHER SURFACE MARKERS ,
WO2007085706A8,METHOD FOR SCREENING SUBSTANCES FOR TREATMENT OF NEUROPSYCHIATRIC DISEASES AND MATERIALS THEREFOR ,
WO2010037826A3,METHOD OF ENRICHING STEM CELLS IN CULTURE ,
WO2010001951A1,ARTIFICIAL KIDNEY PRECURSOR AND PROCESS FOR PRODUCTION THEREOF ,
WO2010035136A3,EXPANSION OF EMBRYONIC STEM CELLS ,
WO2006115026A1,HUMANIN RECEPTOR OR HUMANIN-LIKE POLYPEPTIDE RECEPTOR ,
