pubnumber,title,url
WO2005104988A3,OSTEOGENIC IMPLANTS WITH IMPROVED OSTEOINTEGRATION PROPERTIES ,http://www.google.com/patents/about?id=qGKhAAAAEBAJ&dq=OSTEOGENIC+IMPLANTS+WITH+IMPROVED+OSTEOINTEGRATION+PROPERTIES
WO2010085588A3,MODULATING ANGIOGENESIS ,http://www.google.com/patents/about?id=Ef3GAAAAEBAJ&dq=MODULATING+ANGIOGENESIS
WO2008012828A3,COMPOSITE IMPLANTS FOR PROMOTING BONE REGENERATION AND AUGMENTATION AND METHODS FOR THEIR PREPARATION AND USE ,http://www.google.com/patents/about?id=c3nJAAAAEBAJ&dq=COMPOSITE+IMPLANTS+FOR+PROMOTING+BONE+REGENERATION+AND+AUGMENTATION+AND+METHODS+FOR+THEIR+PREPARATION+AND+USE
WO2007062243A3,SERUM-FREE EXPANSION OF CELLS IN CULTURE ,http://www.google.com/patents/about?id=g1yiAAAAEBAJ&dq=SERUM-FREE+EXPANSION+OF+CELLS+IN+CULTURE
WO2009122747A1,METHOD FOR PREPARATION OF PLATELET FROM IPS CELL ,http://www.google.com/patents/about?id=7PNMAQAAEBAJ&dq=METHOD+FOR+PREPARATION+OF+PLATELET+FROM+IPS+CELL
WO2008057233A3,MODELS OF ERYTHROPOIESIS ,http://www.google.com/patents/about?id=shIhAAAAEBAJ&dq=MODELS+OF+ERYTHROPOIESIS
WO2010030666A3,ELIMINATION OF A CONTAMINATING NON-HUMAN SIALIC ACID BY METABOLIC COMPETITION ,http://www.google.com/patents?q=ELIMINATION+OF+A+CONTAMINATING+NON-HUMAN+SIALIC+ACID+BY+METABOLIC+COMPETITION&scoring=1&output=rss
WO2003068959A1,NOVEL SCREENING METHOD ,http://www.google.com/patents/about?id=h2qbAAAAEBAJ&dq=NOVEL+SCREENING+METHOD
WO2009087110A8,SECRETABLE HIV ENTRY INHIBITORY PEPTIDES FOR THERAPY OF HIV INFECTION ,http://www.google.com/patents/about?id=l6b6AAAAEBAJ&dq=SECRETABLE+HIV+ENTRY+INHIBITORY+PEPTIDES+FOR+THERAPY+OF+HIV+INFECTION
WO2003078588A3,PRIMITIVE AND PROXIMAL HEPATIC STEM CELLS ,http://www.google.com/patents/about?id=iMqsAAAAEBAJ&dq=PRIMITIVE+AND+PROXIMAL+HEPATIC+STEM+CELLS
WO2005000245A3,COMPOSITIONS AND METHODS FOR INCREASING TELOMERASE ACTIVITY ,http://www.google.com/patents/about?id=8BtgAQAAEBAJ&dq=COMPOSITIONS+AND+METHODS+FOR+INCREASING+TELOMERASE+ACTIVITY
WO2009078333A1,RÉACTEUR POUR CULTURE CELLULAIRE ET PROCÉDÉ DE PRODUCTION ,http://www.google.com/patents?q=R%C3%89ACTEUR+POUR+CULTURE+CELLULAIRE+ET+PROC%C3%89D%C3%89+DE+PRODUCTION&scoring=1&output=rss
WO2008030616A3,MONITORING CANCER STEM CELLS ,http://www.google.com/patents/about?id=-gGqAAAAEBAJ&dq=MONITORING+CANCER+STEM+CELLS
WO2000030668A9,USE OF PARVOVIRUS CAPSID PARTICLES IN THE INHIBITION OF CELL PROLIFERATION AND MIGRATION ,http://www.google.com/patents/about?id=Zy4RAAAAEBAJ&dq=USE+OF+PARVOVIRUS+CAPSID+PARTICLES+IN+THE+INHIBITION+OF+CELL+PROLIFERATION+AND+MIGRATION
WO2003004047A1,CELL DEATH INDUCERS FOR MAST CELLS ,http://www.google.com/patents/about?id=RPh_AAAAEBAJ&dq=CELL+DEATH+INDUCERS+FOR+MAST+CELLS
WO2008055224A3,LITHIUM STIMULATION OF CORD BLOOD STEM CELL PROLIFERATION AND GROWTH FACTOR PRODUCTION ,http://www.google.com/patents/about?id=6r_SAAAAEBAJ&dq=LITHIUM+STIMULATION+OF+CORD+BLOOD+STEM+CELL+PROLIFERATION+AND+GROWTH+FACTOR+PRODUCTION
WO2010054328A3,COMPOSITIONS AND METHODS FOR THE INHIBITION OF CRIPTO/GRP78 COMPLEX FORMATION AND SIGNALING ,http://www.google.com/patents/about?id=8jHXAAAAEBAJ&dq=COMPOSITIONS+AND+METHODS+FOR+THE+INHIBITION+OF+CRIPTO/GRP78+COMPLEX+FORMATION+AND+SIGNALING
WO2009146098A3,STEM CELLS AND USES THEREOF ,http://www.google.com/patents/about?id=UIkKAAAAEBAJ&dq=STEM+CELLS+AND+USES+THEREOF
WO2003038070A1,BASE MATERIAL FOR CULTURING EMBRYO STEM CELLS AND CULTURE METHOD ,http://www.google.com/patents/about?id=o6iVAAAAEBAJ&dq=BASE+MATERIAL+FOR+CULTURING+EMBRYO+STEM+CELLS+AND+CULTURE+METHOD
WO2007136673A3,TREATMENT OF DISC DEGENERATIVE DISEASE AND COMPOSITIONS FOR SAME ,http://www.google.com/patents/about?id=jIDLAAAAEBAJ&dq=TREATMENT+OF+DISC+DEGENERATIVE+DISEASE+AND+COMPOSITIONS+FOR+SAME
WO2010065957A3,VASCULARIZED LIVING SKIN CONSTRUCTS AND METHODS OF USE THEREOF ,http://www.google.com/patents/about?id=B3nyAAAAEBAJ&dq=VASCULARIZED+LIVING+SKIN+CONSTRUCTS+AND+METHODS+OF+USE+THEREOF
WO2004078917A3,EXPANSION OF RENEWABLE STEM CELL POPULATIONS USING MODULATORS OF PI 3-KINASE ,http://www.google.com/patents/about?id=3liVAAAAEBAJ&dq=EXPANSION+OF+RENEWABLE+STEM+CELL+POPULATIONS+USING+MODULATORS+OF+PI+3-KINASE
WO2007084609A3,POROUS OSTEOIMPLANT ,http://www.google.com/patents/about?id=LmSoAAAAEBAJ&dq=POROUS+OSTEOIMPLANT
WO2008021431A3,METHODS AND COMPOSITIONS FOR DIAGNOSING AND MONITORING THE STATUS OF TRANSPLANT REJECTION AND IMMUNE DISORDERS ,http://www.google.com/patents/about?id=67inAAAAEBAJ&dq=METHODS+AND+COMPOSITIONS+FOR+DIAGNOSING+AND+MONITORING+THE+STATUS+OF+TRANSPLANT+REJECTION+AND+IMMUNE+DISORDERS
WO2009072635A1,METHOD FOR AMPLIFYING HEMATOPOIETIC STEM CELLS USING HETEROCYCLIC COMPOUND ,http://www.google.com/patents/about?id=GnOcAAAAEBAJ&dq=METHOD+FOR+AMPLIFYING+HEMATOPOIETIC+STEM+CELLS+USING+HETEROCYCLIC+COMPOUND
WO2006056633A1,CLONACIÓN CELULAR A PARTIR DE CÉLULAS GERMINALES ,http://www.google.com/patents?q=CLONACI%C3%93N+CELULAR+A+PARTIR+DE+C%C3%89LULAS+GERMINALES&scoring=1&output=rss
WO2009007618A3,TUMOUR-CELL-FIXING CELLS ,http://www.google.com/patents/about?id=X1fTAAAAEBAJ&dq=TUMOUR-CELL-FIXING+CELLS
WO2010036373A3,HEMATOPOIETIC STEM CELL GROWTH FACTOR ,http://www.google.com/patents/about?id=wa0MAAAAEBAJ&dq=HEMATOPOIETIC+STEM+CELL+GROWTH+FACTOR
WO2008036209A3,CELL DELIVERY MATRICES ,http://www.google.com/patents/about?id=h5_XAAAAEBAJ&dq=CELL+DELIVERY+MATRICES
WO2008039483A3,MODIFIED SELF-ASSEMBLING PEPTIDES ,http://www.google.com/patents/about?id=FBHIAAAAEBAJ&dq=MODIFIED+SELF-ASSEMBLING+PEPTIDES
WO2010053522A3,METHODS FOR IDENTIFYING AND PRODUCING NEURAL STEM AND PROGENITOR CELLS AND THEIR PROGENY ,http://www.google.com/patents/about?id=WnsYAAAAEBAJ&dq=METHODS+FOR+IDENTIFYING+AND+PRODUCING+NEURAL+STEM+AND+PROGENITOR+CELLS+AND+THEIR+PROGENY
WO2005021728A3,"ENRICHED PANCREATIC STEM CELL AND PROGENITOR CELL POPULATIONS, AND METHODS FOR IDENTIFYING, ISOLATING AND ENRICHING FOR THESE POPULATIONS ","http://www.google.com/patents/about?id=PrGjAAAAEBAJ&dq=ENRICHED+PANCREATIC+STEM+CELL+AND+PROGENITOR+CELL+POPULATIONS,+AND+METHODS+FOR+IDENTIFYING,+ISOLATING+AND+ENRICHING+FOR+THESE+POPULATIONS"
WO2006087233A3,RELEASE OF EXTRACELLULAR MEMBRANE PARTICLES CARRYING THE STEM CELL MARKER PROMININ-1 (CD133) FROM NEURAL PROGENITORS AND OTHER EPITHELIAL CELLS ,http://www.google.com/patents?q=RELEASE+OF+EXTRACELLULAR+MEMBRANE+PARTICLES+CARRYING+THE+STEM+CELL+MARKER+PROMININ-1+(CD133)+FROM+NEURAL+PROGENITORS+AND+OTHER+EPITHELIAL+CELLS&scoring=1&output=rss
WO2005063968A1,BASAL MEDIUM FOR ES CELL CULTURING ,http://www.google.com/patents/about?id=tXyoAAAAEBAJ&dq=BASAL+MEDIUM+FOR+ES+CELL+CULTURING
WO2009028870A3,"COMPOSITION FOR THE DIAGNOSIS, PREVENTION OR TREATMENT OF DISEASES RELATED TO CELLS EXPRESSING IL-8 OR GRO-ALPHA, COMPRISING UCB-MSCS ","http://www.google.com/patents/about?id=o4_RAAAAEBAJ&dq=COMPOSITION+FOR+THE+DIAGNOSIS,+PREVENTION+OR+TREATMENT+OF+DISEASES+RELATED+TO+CELLS+EXPRESSING+IL-8+OR+GRO-ALPHA,+COMPRISING+UCB-MSCS"
WO2001098358A9,COMPOSITIONS FOR IDENTIFICATION AND ISOLATION OF STEM CELLS ,http://www.google.com/patents/about?id=3cMNAAAAEBAJ&dq=COMPOSITIONS+FOR+IDENTIFICATION+AND+ISOLATION+OF+STEM+CELLS
WO2002051980A3,IN VITRO-DERIVED ADULT PLURIPOTENT STEM CELLS AND USES THEREFOR ,http://www.google.com/patents/about?id=MluDAAAAEBAJ&dq=IN+VITRO-DERIVED+ADULT+PLURIPOTENT+STEM+CELLS+AND+USES+THEREFOR
WO1993003061A1,HEMATOPOIETIC STEM CELL MULTIPLIER ,http://www.google.com/patents/about?id=1_mVAAAAEBAJ&dq=HEMATOPOIETIC+STEM+CELL+MULTIPLIER
WO2000033791A3,"CO-FACTORS FOR TROPHIC FACTORS, AND METHODS OF USE THEREOF ","http://www.google.com/patents/about?id=DUOHAAAAEBAJ&dq=CO-FACTORS+FOR+TROPHIC+FACTORS,+AND+METHODS+OF+USE+THEREOF"
WO2003029432A3,HUMAN MESENCHYMAL PROGENITOR CELL ,http://www.google.com/patents/about?id=diWHAAAAEBAJ&dq=HUMAN+MESENCHYMAL+PROGENITOR+CELL
WO1999049014A9,LOCALIZATION AND PROPAGATION OF NEURAL AND NEURONAL PROGENITOR CELLS ,http://www.google.com/patents/about?id=WNGUAAAAEBAJ&dq=LOCALIZATION+AND+PROPAGATION+OF+NEURAL+AND+NEURONAL+PROGENITOR+CELLS
WO2006085590A1,TetR EXPRESSING NON-HUMAN TRANSGENIC ANIMAL AND METHOD FOR PRODUCING THE SAME ,http://www.google.com/patents/about?id=0CuVAAAAEBAJ&dq=TetR+EXPRESSING+NON-HUMAN+TRANSGENIC+ANIMAL+AND+METHOD+FOR+PRODUCING+THE+SAME
WO2007075525A3,COMBINATION OF AN IAP-INHIBITOR AND A TAXANE7 ,http://www.google.com/patents?q=COMBINATION+OF+AN+IAP-INHIBITOR+AND+A+TAXANE7&scoring=1&output=rss
WO2003029405A3,METHODS AND MATERIALS RELATING TO STEM CELL GROWTH FACTOR-LIKE POLYPEPTIDES AND POLYNUCLEOTIDES ,http://www.google.com/patents/about?id=DEuHAAAAEBAJ&dq=METHODS+AND+MATERIALS+RELATING+TO+STEM+CELL+GROWTH+FACTOR-LIKE+POLYPEPTIDES+AND+POLYNUCLEOTIDES
WO2007098484A8,HIGH-YIELD ACTIVATION OF POLYMER SURFACES FOR COVALENT ATTACHMENT OF MOLECULES ,http://www.google.com/patents/about?id=rGWgAAAAEBAJ&dq=HIGH-YIELD+ACTIVATION+OF+POLYMER+SURFACES+FOR+COVALENT+ATTACHMENT+OF+MOLECULES
WO2008006605A3,A NOVEL POPULATION OF MULTIPOTENT CARDIAC PRECURSOR CELLS DERIVED FROM HUMAN BLASTOCYSTS DERIVED STEM CELLS ,http://www.google.com/patents/about?id=I4LLAAAAEBAJ&dq=A+NOVEL+POPULATION+OF+MULTIPOTENT+CARDIAC+PRECURSOR+CELLS+DERIVED+FROM+HUMAN+BLASTOCYSTS+DERIVED+STEM+CELLS
WO2005044179A3,FORMULATIONS CONTAINING ASTRAGALUS EXTRACTS AND USES THEREOF ,http://www.google.com/patents/about?id=OgSjAAAAEBAJ&dq=FORMULATIONS+CONTAINING+ASTRAGALUS+EXTRACTS+AND+USES+THEREOF
WO2009054128A1,METHOD FOR EFFICIENT PRODUCTION OF MONOCYTE-DERIVED MULTIPOTENT CELL (MOMC) ,http://www.google.com/patents/about?id=NAbYAAAAEBAJ&dq=METHOD+FOR+EFFICIENT+PRODUCTION+OF+MONOCYTE-DERIVED+MULTIPOTENT+CELL+(MOMC)
WO2005100549A1,METHOD OF PROLIFERATING ORGAN-SPECIFIC STEM CELL AND PROLIFERATION APPARATUS THEREFOR ,http://www.google.com/patents?q=METHOD+OF+PROLIFERATING+ORGAN-SPECIFIC+STEM+CELL+AND+PROLIFERATION+APPARATUS+THEREFOR&scoring=1&output=rss
WO2009108866A3,MICRORNA SIGNATURES ASSOCIATED WITH CYTOGENETICS AND PROGNOSIS IN ACUTE MYELOID LEUKEMIA (AML) AND USES THEREOF ,http://www.google.com/patents/about?id=OtTyAAAAEBAJ&dq=MICRORNA+SIGNATURES+ASSOCIATED+WITH+CYTOGENETICS+AND+PROGNOSIS+IN+ACUTE+MYELOID+LEUKEMIA+(AML)+AND+USES+THEREOF
WO2009031035A3,BIORESORBABLE KNIT ,http://www.google.com/patents/about?id=wYKzAAAAEBAJ&dq=BIORESORBABLE+KNIT
WO2006110110A8,TISSUE CONSTRUCT AND METHOD THEREOF ,http://www.google.com/patents/about?id=4aWqAAAAEBAJ&dq=TISSUE+CONSTRUCT+AND+METHOD+THEREOF
WO2002102971A3,METHODS OF UTILIZING CULTURED HEMATOPOIETIC PROGENITOR CELLS FOR INDUCING IMMUNOLOGICAL TOLERANCE ,http://www.google.com/patents/about?id=QzGVAAAAEBAJ&dq=METHODS+OF+UTILIZING+CULTURED+HEMATOPOIETIC+PROGENITOR+CELLS+FOR+INDUCING+IMMUNOLOGICAL+TOLERANCE
WO2007089762A3,"DEVICES FOR SELECTIVE RECRUITMENT, ISOLATION, ACTIVATION, AND/OR ELIMINATION OF VARIOUS CELL POPULATIONS ","http://www.google.com/patents/about?id=9yhNAQAAEBAJ&dq=DEVICES+FOR+SELECTIVE+RECRUITMENT,+ISOLATION,+ACTIVATION,+AND/OR+ELIMINATION+OF+VARIOUS+CELL+POPULATIONS"
WO2007056551A3,TRANSGENIC RATS AND SPERMATOGONIAL STEM CELLS ,http://www.google.com/patents/about?id=Sh-iAAAAEBAJ&dq=TRANSGENIC+RATS+AND+SPERMATOGONIAL+STEM+CELLS
WO2008013985A3,USE OF HEAT SHOCK ACTIVATORS FOR TISSUE REGENERATION ,http://www.google.com/patents/about?id=IyrTAAAAEBAJ&dq=USE+OF+HEAT+SHOCK+ACTIVATORS+FOR+TISSUE+REGENERATION
WO2003095628A3,"CONTROL OF ES CELL SELF RENEWAL AND LINEAGE SPECIFICATION, AND MEDIUM THEREFOR ","http://www.google.com/patents/about?id=0_mVAAAAEBAJ&dq=CONTROL+OF+ES+CELL+SELF+RENEWAL+AND+LINEAGE+SPECIFICATION,+AND+MEDIUM+THEREFOR"
WO2007002664A3,PROPAGATION OF UNDIFFERENTIATED EMBRYONIC STEM CELLS IN HYALURONIC ACID HYDROGEL ,http://www.google.com/patents/about?id=EQGjAAAAEBAJ&dq=PROPAGATION+OF+UNDIFFERENTIATED+EMBRYONIC+STEM+CELLS+IN+HYALURONIC+ACID+HYDROGEL
WO2003029438A3,IDENTIFYING AGENTS THAT PREVENT PALINDROME FORMATION AND GENE AMPLIFICATION ,http://www.google.com/patents?q=IDENTIFYING+AGENTS+THAT+PREVENT+PALINDROME+FORMATION+AND+GENE+AMPLIFICATION&scoring=1&output=rss
WO2005123906A1,METHOD OF INCREASING AMOUNT OF INSULIN SECRETED AND/OR PRODUCED BY INSULIN-PRODUCING CELL ,http://www.google.com/patents/about?id=9ZaoAAAAEBAJ&dq=METHOD+OF+INCREASING+AMOUNT+OF+INSULIN+SECRETED+AND/OR+PRODUCED+BY+INSULIN-PRODUCING+CELL
WO2006040615A3,DIFFERENCIATION OF STEM CELLS FOR THERAPEUTIC USE ,http://www.google.com/patents/about?id=aZeUAAAAEBAJ&dq=DIFFERENCIATION+OF+STEM+CELLS+FOR+THERAPEUTIC+USE
WO2006047299A3,ORGANOTYPIC SLICE CULTURES AND USES THEREOF ,http://www.google.com/patents/about?id=-w6VAAAAEBAJ&dq=ORGANOTYPIC+SLICE+CULTURES+AND+USES+THEREOF
WO2007148609A1,EX VIVO/IN VIVO PROLIFERATION OF HEMATOPOIETIC STEM CELL OR HEMATOPOIETIC PROGENITOR CELL BY TIMP-3 ,http://www.google.com/patents?q=EX+VIVO/IN+VIVO+PROLIFERATION+OF+HEMATOPOIETIC+STEM+CELL+OR+HEMATOPOIETIC+PROGENITOR+CELL+BY+TIMP-3&scoring=1&output=rss
WO2009019320A3,METHOD FOR INDUCING AND ACCELERATING CELLS ,http://www.google.com/patents/about?id=aUyrAAAAEBAJ&dq=METHOD+FOR+INDUCING+AND+ACCELERATING+CELLS
WO2008093827A1,"THERAPEUTIC AGENT FOR CENTRAL NERVOUS SYSTEM DISORDER, AND METHOD FOR TREATMENT OF CENTRAL NERVOUS SYSTEM DISORDER ","http://www.google.com/patents/about?id=nDd_AAAAEBAJ&dq=THERAPEUTIC+AGENT+FOR+CENTRAL+NERVOUS+SYSTEM+DISORDER,+AND+METHOD+FOR+TREATMENT+OF+CENTRAL+NERVOUS+SYSTEM+DISORDER"
WO2006086404A3,SYNOVIAL FLUID BARRIER ,http://www.google.com/patents/about?id=NYTYAAAAEBAJ&dq=SYNOVIAL+FLUID+BARRIER
WO2007058982A3,MNTF DIFFERENTIATION AND GROWTH OF STEM CELLS ,http://www.google.com/patents/about?id=Q0XGAAAAEBAJ&dq=MNTF+DIFFERENTIATION+AND+GROWTH+OF+STEM+CELLS
WO2009081369A3,METHOD FOR TREATING FETAL GROWTH DISORDERS ,http://www.google.com/patents/about?id=bCmZAAAAEBAJ&dq=METHOD+FOR+TREATING+FETAL+GROWTH+DISORDERS
WO2007139939A3,METHODS AND COMPOSITIONS USING IMMUNOMODULATORY COMPOUNDS IN COMBINATION THERAPY ,http://www.google.com/patents/about?id=GX-oAAAAEBAJ&dq=METHODS+AND+COMPOSITIONS+USING+IMMUNOMODULATORY+COMPOUNDS+IN+COMBINATION+THERAPY
WO1997007225A3,HIGH EFFICIENCY RETROVIRAL PACKAGING SYSTEM,http://www.google.com/patents/about?id=JBmDAAAAEBAJ&dq=HIGH+EFFICIENCY+RETROVIRAL+PACKAGING+SYSTEM
WO2008056173A8,PLURIPOTENT CELLS FROM THE MAMMALIAN LATE EPIBLAST LAYER ,http://www.google.com/patents/about?id=pL_NAAAAEBAJ&dq=PLURIPOTENT+CELLS+FROM+THE+MAMMALIAN+LATE+EPIBLAST+LAYER
WO2007072491A3,SUSTAINED RELEASE PHARMACEUTICAL FORMULATION AND TREATMENT OF ISCHEMIC HEART DISEASE BY ADMINISTERING THE SAME ,http://www.google.com/patents/about?id=0FuYAAAAEBAJ&dq=SUSTAINED+RELEASE+PHARMACEUTICAL+FORMULATION+AND+TREATMENT+OF+ISCHEMIC+HEART+DISEASE+BY+ADMINISTERING+THE+SAME
WO2002016573A3,"GENETICALLY MODIFIED, NON-HUMAN MAMMAL CONTAINING AN ADDITIONAL INDUCIBLE REGULATOR GENE ","http://www.google.com/patents/about?id=gvqWAAAAEBAJ&dq=GENETICALLY+MODIFIED,+NON-HUMAN+MAMMAL+CONTAINING+AN+ADDITIONAL+INDUCIBLE+REGULATOR+GENE"
WO1999046366A8,USES FOR HUMANE NON-AUTOLOGOUS MESENCHYMAL STEM CELLS ,http://www.google.com/patents/about?id=gy0KAAAAEBAJ&dq=USES+FOR+HUMANE+NON-AUTOLOGOUS+MESENCHYMAL+STEM+CELLS
WO2007145840A3,COMPOSITIONS AND METHODS FOR DIAGNOSING AND TREATING CANCER ,http://www.google.com/patents/about?id=zonNAAAAEBAJ&dq=COMPOSITIONS+AND+METHODS+FOR+DIAGNOSING+AND+TREATING+CANCER
WO2000070022A3,EXPANSION,http://www.google.com/patents/about?id=EBdmAAAAEBAJ&dq=EXPANSION
WO2006138552A3,"TISSUE ENGINEERED CARTILAGE, METHOD OF MAKING SAME, THERAPEUTIC AND COSMETIC SURGICAL APPLICATIONS USING SAME ","http://www.google.com/patents/about?id=MaLNAAAAEBAJ&dq=TISSUE+ENGINEERED+CARTILAGE,+METHOD+OF+MAKING+SAME,+THERAPEUTIC+AND+COSMETIC+SURGICAL+APPLICATIONS+USING+SAME"
WO2007146106A3,"PROCUREMENT, ISOLATION AND CRYOPRESERVATION OF MATERNAL PLACENTAL CELLS ","http://www.google.com/patents/about?id=EtCoAAAAEBAJ&dq=PROCUREMENT,+ISOLATION+AND+CRYOPRESERVATION+OF+MATERNAL+PLACENTAL+CELLS"
WO2006035083A1,BIOMATERIAL FOR SUTURE ,http://www.google.com/patents/about?id=cDPXAAAAEBAJ&dq=BIOMATERIAL+FOR+SUTURE
WO2006093137A1,METHOD OF FABRICATING SHEET FOR CARTILAGE TISSUE REGENERATION ,http://www.google.com/patents/about?id=MA_UAAAAEBAJ&dq=METHOD+OF+FABRICATING+SHEET+FOR+CARTILAGE+TISSUE+REGENERATION
WO2008087642A3,NUCLEIC ACID CONSTRUCTS AND METHODS FOR SPECIFIC SILENCING OF H19 ,http://www.google.com/patents/about?id=4lrOAAAAEBAJ&dq=NUCLEIC+ACID+CONSTRUCTS+AND+METHODS+FOR+SPECIFIC+SILENCING+OF+H19
WO2006073126A1,PREVENTIVE AND REMEDY FOR DRY EYE ASSOCIATED WITH CHRONIC GRAFT VERSUS HOST DISEASE ,http://www.google.com/patents/about?id=LiWBAAAAEBAJ&dq=PREVENTIVE+AND+REMEDY+FOR+DRY+EYE+ASSOCIATED+WITH+CHRONIC+GRAFT+VERSUS+HOST+DISEASE
WO2007079753A3,MUTANT DEOXYADENOSINE KINASE ENZYMES AND THEIR USE ,http://www.google.com/patents/about?id=mzmiAAAAEBAJ&dq=MUTANT+DEOXYADENOSINE+KINASE+ENZYMES+AND+THEIR+USE
WO2008150001A1,ADIPOCLUSTER ,http://www.google.com/patents?q=ADIPOCLUSTER&scoring=1&output=rss
WO2003064463B1,PLURIPOTENCY DETERMINING FACTORS AND USES THEREOF ,http://www.google.com/patents/about?id=oNrNAAAAEBAJ&dq=PLURIPOTENCY+DETERMINING+FACTORS+AND+USES+THEREOF
WO2009036220A3,COMPOSITIONS AND METHODS FOR IMPROVING THE FUNCTIONAL EFFICACY OF STEM CELL-DERIVED CARDIOMYOCYTES ,http://www.google.com/patents?q=COMPOSITIONS+AND+METHODS+FOR+IMPROVING+THE+FUNCTIONAL+EFFICACY+OF+STEM+CELL-DERIVED+CARDIOMYOCYTES&scoring=1&output=rss
WO2006119965A3,GROWTH FACTOR MUTANTS WITH ALTERED BIOLOGICAL ATTRIBUTES ,http://www.google.com/patents/about?id=rViVAAAAEBAJ&dq=GROWTH+FACTOR+MUTANTS+WITH+ALTERED+BIOLOGICAL+ATTRIBUTES
WO2009027640A3,DEVICE CAPABLE OF RELEASING CALCIUM LACTATE ,http://www.google.com/patents/about?id=3bwNAAAAEBAJ&dq=DEVICE+CAPABLE+OF+RELEASING+CALCIUM+LACTATE
WO2002007679A3,ADULT HUMAN DENTAL PULP STEM CELLS ,http://www.google.com/patents/about?id=Uo93AAAAEBAJ&dq=ADULT+HUMAN+DENTAL+PULP+STEM+CELLS
WO2004113513A3,METHODS AND COMPOSITIONS FOR MODULATING STEM CELL GROWTH AND DIFFERENTIATION ,http://www.google.com/patents/about?id=h06ZAAAAEBAJ&dq=METHODS+AND+COMPOSITIONS+FOR+MODULATING+STEM+CELL+GROWTH+AND+DIFFERENTIATION
